epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,74770,10000001,63.850742,0.000883,0.001324,0.001846,0.002421,0.003183
1,54390,10000000,54.514801,0.069608,0.076485,0.094521,0.119287,0.135889
2,71401,10000000,42.259030,0.148247,0.180866,0.240501,0.314772,0.389658
3,78231,10000001,40.019941,0.141415,0.185732,0.265585,0.364996,0.446153
4,90534,10000001,35.210230,0.203205,0.256865,0.347173,0.453167,0.531447
5,111546,10000000,29.576229,0.204104,0.286025,0.427510,0.570599,0.658150
6,125048,10000000,26.958816,0.185265,0.294511,0.462143,0.631134,0.719044
7,152692,10000000,22.804659,0.176925,0.297488,0.537487,0.723993,0.806794
8,174613,10000001,20.819315,0.177513,0.277024,0.558492,0.776225,0.853442
9,193157,10000000,19.687322,0.173382,0.305679,0.541570,0.823170,0.875790
10,218265,10000000,20.448061,0.109101,0.237216,0.552521,0.839484,0.875285
11,220793,10000001,16.040527,0.307926,0.595032,0.800442,0.818848,0.839139
12,83635,10000001,30.161930,0.443104,0.489843,0.493119,0.520811,0.576194
13,115011,10000000,38.377286,0.063881,0.169792,0.282843,0.425742,0.486023
14,133409,10000000,33.202655,0.182956,0.284936,0.370417,0.499059,0.565397
15,167319,10000000,27.270585,0.133099,0.262875,0.443070,0.644015,0.727042
16,188629,10000000,24.520053,0.127239,0.225374,0.433539,0.725026,0.826188
17,202453,10000000,22.387236,0.157829,0.270764,0.482112,0.753409,0.868947
18,86811,3182604,23.630254,0.446360,0.546670,0.583382,0.588854,0.768647
