benchmark,page_bytes,word_bytes,mean_touched_frac,p_le_25pct,wasted_frac,pages
bc,4096,64,0.485332,0.417677,0.514668,2830009
bc,4096,128,0.539694,0.362971,0.460306,2830009
bc,4096,256,0.591577,0.300242,0.408423,2830009
bc,4096,512,0.657374,0.241825,0.342626,2830009
bc,4096,1024,0.743667,0.185651,0.256333,2830009
bc,4096,2048,0.858920,0.000000,0.141080,2830009
bc,8192,64,0.410661,0.508324,0.589339,1672294
bc,8192,128,0.456659,0.453369,0.543341,1672294
bc,8192,256,0.500560,0.385433,0.499440,1672294
bc,8192,512,0.556234,0.320222,0.443766,1672294
bc,8192,1024,0.629250,0.257806,0.370750,1672294
bc,8192,2048,0.726772,0.195472,0.273228,1672294
bc,8192,4096,0.846146,0.000000,0.153854,1672294
bc,16384,64,0.351992,0.579218,0.648008,975515
bc,16384,128,0.391418,0.529871,0.608582,975515
bc,16384,256,0.429047,0.463526,0.570953,975515
bc,16384,512,0.476767,0.393910,0.523233,975515
bc,16384,1024,0.539352,0.324605,0.460648,975515
bc,16384,2048,0.622941,0.256060,0.377059,975515
bc,16384,4096,0.725260,0.190118,0.274740,975515
bc,65536,64,0.279353,0.693006,0.720647,307293
bc,65536,128,0.310644,0.649872,0.689356,307293
bc,65536,256,0.340507,0.588285,0.659493,307293
bc,65536,512,0.378380,0.501687,0.621620,307293
bc,65536,1024,0.428049,0.416570,0.571951,307293
bc,65536,2048,0.494388,0.330857,0.505612,307293
bc,65536,4096,0.575593,0.244851,0.424407,307293
bc,262144,64,0.250699,0.758960,0.749301,85604
bc,262144,128,0.278780,0.723342,0.721220,85604
bc,262144,256,0.305580,0.670833,0.694420,85604
bc,262144,512,0.339568,0.571083,0.660432,85604
bc,262144,1024,0.384142,0.460341,0.615858,85604
bc,262144,2048,0.443677,0.356338,0.556323,85604
bc,262144,4096,0.516552,0.255432,0.483448,85604
bc,2097152,64,0.236645,0.798871,0.763355,11336
bc,2097152,128,0.263151,0.766408,0.736849,11336
bc,2097152,256,0.288449,0.723536,0.711551,11336
bc,2097152,512,0.320531,0.605857,0.679469,11336
bc,2097152,1024,0.362607,0.484739,0.637393,11336
bc,2097152,2048,0.418804,0.355681,0.581196,11336
bc,2097152,4096,0.487594,0.256793,0.512406,11336
bfs,4096,64,0.732194,0.265419,0.267806,527434
bfs,4096,128,0.756910,0.191999,0.243090,527434
bfs,4096,256,0.792557,0.123483,0.207443,527434
bfs,4096,512,0.836888,0.083493,0.163112,527434
bfs,4096,1024,0.887445,0.058294,0.112555,527434
bfs,4096,2048,0.952009,0.000000,0.047991,527434
bfs,8192,64,0.694630,0.322853,0.305370,277978
bfs,8192,128,0.718078,0.240839,0.281922,277978
bfs,8192,256,0.751896,0.159142,0.248104,277978
bfs,8192,512,0.793954,0.105163,0.206046,277978
bfs,8192,1024,0.841916,0.066099,0.158084,277978
bfs,8192,2048,0.903169,0.037661,0.096831,277978
bfs,8192,4096,0.948697,0.000000,0.051303,277978
bfs,16384,64,0.667976,0.366818,0.332024,144535
bfs,16384,128,0.690525,0.288062,0.309475,144535
bfs,16384,256,0.723045,0.174401,0.276955,144535
bfs,16384,512,0.763489,0.105186,0.236511,144535
bfs,16384,1024,0.809611,0.069990,0.190389,144535
bfs,16384,2048,0.868513,0.051088,0.131487,144535
bfs,16384,4096,0.912295,0.044003,0.087705,144535
bfs,65536,64,0.638548,0.403873,0.361452,37799
bfs,65536,128,0.660103,0.369957,0.339897,37799
bfs,65536,256,0.691191,0.207069,0.308809,37799
bfs,65536,512,0.729853,0.097516,0.270147,37799
bfs,65536,1024,0.773943,0.056483,0.226057,37799
bfs,65536,2048,0.830250,0.038387,0.169750,37799
bfs,65536,4096,0.872103,0.031376,0.127897,37799
bfs,262144,64,0.626596,0.413188,0.373404,9630
bfs,262144,128,0.647748,0.409034,0.352252,9630
bfs,262144,256,0.678254,0.238006,0.321746,9630
bfs,262144,512,0.716192,0.066667,0.283808,9630
bfs,262144,1024,0.759457,0.033541,0.240543,9630
bfs,262144,2048,0.814710,0.022949,0.185290,9630
bfs,262144,4096,0.855779,0.018069,0.144221,9630
bfs,2097152,64,0.594378,0.446020,0.405622,1269
bfs,2097152,128,0.614442,0.445232,0.385558,1269
bfs,2097152,256,0.643379,0.303388,0.356621,1269
bfs,2097152,512,0.679366,0.062254,0.320634,1269
bfs,2097152,1024,0.720407,0.061466,0.279593,1269
bfs,2097152,2048,0.772819,0.061466,0.227181,1269
bfs,2097152,4096,0.811777,0.061466,0.188223,1269
cc,4096,64,0.699428,0.267096,0.300572,594995
cc,4096,128,0.731413,0.179723,0.268587,594995
cc,4096,256,0.774238,0.117897,0.225762,594995
cc,4096,512,0.827287,0.082012,0.172713,594995
cc,4096,1024,0.879369,0.060239,0.120631,594995
cc,4096,2048,0.951204,0.000000,0.048796,594995
cc,8192,64,0.661062,0.327564,0.338938,314763
cc,8192,128,0.691293,0.227031,0.308707,314763
cc,8192,256,0.731769,0.152531,0.268231,314763
cc,8192,512,0.781908,0.098169,0.218092,314763
cc,8192,1024,0.831133,0.061970,0.168867,314763
cc,8192,2048,0.899028,0.033975,0.100972,314763
cc,8192,4096,0.945148,0.000000,0.054852,314763
cc,16384,64,0.632533,0.386333,0.367467,164480
cc,16384,128,0.661459,0.266245,0.338541,164480
cc,16384,256,0.700188,0.157922,0.299812,164480
cc,16384,512,0.748163,0.100535,0.251837,164480
cc,16384,1024,0.795264,0.071887,0.204736,164480
cc,16384,2048,0.860228,0.055375,0.139772,164480
cc,16384,4096,0.904358,0.049562,0.095642,164480
cc,65536,64,0.601340,0.457679,0.398660,43253
cc,65536,128,0.628840,0.350796,0.371160,43253
cc,65536,256,0.665659,0.171711,0.334341,43253
cc,65536,512,0.711268,0.088294,0.288732,43253
cc,65536,1024,0.756046,0.056921,0.243954,43253
cc,65536,2048,0.817807,0.042078,0.182193,43253
cc,65536,4096,0.859760,0.034865,0.140240,43253
cc,262144,64,0.590272,0.471042,0.409728,11016
cc,262144,128,0.617266,0.431736,0.382734,11016
cc,262144,256,0.653407,0.164125,0.346593,11016
cc,262144,512,0.698177,0.053377,0.301823,11016
cc,262144,1024,0.742131,0.031227,0.257869,11016
cc,262144,2048,0.802755,0.020516,0.197245,11016
cc,262144,4096,0.843936,0.015704,0.156064,11016
cc,2097152,64,0.564056,0.492019,0.435944,1441
cc,2097152,128,0.589851,0.492019,0.410149,1441
cc,2097152,256,0.624387,0.154060,0.375613,1441
cc,2097152,512,0.667168,0.049271,0.332832,1441
cc,2097152,1024,0.709170,0.048577,0.290830,1441
cc,2097152,2048,0.767102,0.048577,0.232898,1441
cc,2097152,4096,0.806454,0.047883,0.193546,1441
pr,4096,64,0.987433,0.000564,0.012567,3060526
pr,4096,128,0.997381,0.000433,0.002619,3060526
pr,4096,256,0.999488,0.000341,0.000512,3060526
pr,4096,512,0.999652,0.000276,0.000348,3060526
pr,4096,1024,0.999756,0.000222,0.000244,3060526
pr,4096,2048,0.999861,0.000000,0.000139,3060526
pr,8192,64,0.987248,0.000720,0.012752,1530549
pr,8192,128,0.997195,0.000586,0.002805,1530549
pr,8192,256,0.999301,0.000483,0.000699,1530549
pr,8192,512,0.999465,0.000430,0.000535,1530549
pr,8192,1024,0.999569,0.000361,0.000431,1530549
pr,8192,2048,0.999674,0.000282,0.000326,1530549
pr,8192,4096,0.999813,0.000000,0.000187,1530549
pr,16384,64,0.987008,0.000896,0.012992,765461
pr,16384,128,0.996952,0.000756,0.003048,765461
pr,16384,256,0.999057,0.000656,0.000943,765461
pr,16384,512,0.999221,0.000611,0.000779,765461
pr,16384,1024,0.999325,0.000528,0.000675,765461
pr,16384,2048,0.999430,0.000435,0.000570,765461
pr,16384,4096,0.999570,0.000317,0.000430,765461
pr,65536,64,0.985809,0.001989,0.014191,191598
pr,65536,128,0.995741,0.001858,0.004259,191598
pr,65536,256,0.997844,0.001764,0.002156,191598
pr,65536,512,0.998008,0.001707,0.001992,191598
pr,65536,1024,0.998112,0.001623,0.001888,191598
pr,65536,2048,0.998216,0.001519,0.001784,191598
pr,65536,4096,0.998355,0.001394,0.001645,191598
pr,262144,64,0.981903,0.005344,0.018097,48090
pr,262144,128,0.991796,0.005282,0.008204,48090
pr,262144,256,0.993891,0.005157,0.006109,48090
