benchmark,page_bytes,word_bytes,mean_touched_frac,p_le_25pct,wasted_frac,pages
redis-ycsba,4096,64,0.139769,0.804848,0.860231,8872595
redis-ycsba,4096,128,0.179482,0.760055,0.820518,8872595
redis-ycsba,4096,256,0.246286,0.689816,0.753714,8872595
redis-ycsba,4096,512,0.350762,0.570302,0.649238,8872595
redis-ycsba,4096,1024,0.507891,0.422872,0.492109,8872595
redis-ycsba,4096,2048,0.726664,0.000000,0.273336,8872595
redis-ycsba,8192,64,0.105761,0.897548,0.894239,5862847
redis-ycsba,8192,128,0.135810,0.864584,0.864190,5862847
redis-ycsba,8192,256,0.186360,0.792977,0.813640,5862847
redis-ycsba,8192,512,0.265415,0.671630,0.734585,5862847
redis-ycsba,8192,1024,0.384311,0.510462,0.615689,5862847
redis-ycsba,8192,2048,0.549852,0.349088,0.450148,5862847
redis-ycsba,8192,4096,0.756680,0.000000,0.243320,5862847
redis-ycsba,16384,64,0.085587,0.926114,0.914413,3622384
redis-ycsba,16384,128,0.109905,0.900808,0.890095,3622384
redis-ycsba,16384,256,0.150812,0.848641,0.849188,3622384
redis-ycsba,16384,512,0.214787,0.740518,0.785213,3622384
redis-ycsba,16384,1024,0.311004,0.573526,0.688996,3622384
redis-ycsba,16384,2048,0.444969,0.397604,0.555031,3622384
redis-ycsba,16384,4096,0.612345,0.260282,0.387655,3622384
redis-ycsba,65536,64,0.072424,0.940659,0.927576,1070185
redis-ycsba,65536,128,0.093002,0.922153,0.906998,1070185
redis-ycsba,65536,256,0.127618,0.885684,0.872382,1070185
redis-ycsba,65536,512,0.181754,0.808310,0.818246,1070185
redis-ycsba,65536,1024,0.263173,0.643060,0.736827,1070185
redis-ycsba,65536,2048,0.376535,0.379339,0.623465,1070185
redis-ycsba,65536,4096,0.518169,0.173485,0.481831,1070185
redis-ycsba,262144,64,0.071963,0.942346,0.928037,269262
redis-ycsba,262144,128,0.092409,0.924624,0.907591,269262
redis-ycsba,262144,256,0.126805,0.891474,0.873195,269262
redis-ycsba,262144,512,0.180596,0.817769,0.819404,269262
redis-ycsba,262144,1024,0.261497,0.677244,0.738503,269262
redis-ycsba,262144,2048,0.374136,0.332338,0.625864,269262
redis-ycsba,262144,4096,0.514868,0.059466,0.485132,269262
redis-ycsba,2097152,64,0.071326,0.942458,0.928674,33958
redis-ycsba,2097152,128,0.091592,0.924996,0.908408,33958
redis-ycsba,2097152,256,0.125684,0.892691,0.874316,33958
redis-ycsba,2097152,512,0.178999,0.821014,0.821001,33958
redis-ycsba,2097152,1024,0.259184,0.691560,0.740816,33958
redis-ycsba,2097152,2048,0.370828,0.310884,0.629172,33958
redis-ycsba,2097152,4096,0.510315,0.016727,0.489685,33958
redis-ycsbc,4096,64,0.375803,0.621602,0.624197,2295443
redis-ycsbc,4096,128,0.405850,0.586914,0.594150,2295443
redis-ycsbc,4096,256,0.439167,0.576942,0.560833,2295443
redis-ycsbc,4096,512,0.466187,0.575011,0.533813,2295443
redis-ycsbc,4096,1024,0.480251,0.574616,0.519749,2295443
redis-ycsbc,4096,2048,0.688664,0.000000,0.311336,2295443
redis-ycsbc,8192,64,0.251204,0.754490,0.748796,1717000
redis-ycsbc,8192,128,0.271289,0.714053,0.728711,1717000
redis-ycsbc,8192,256,0.293559,0.665697,0.706441,1717000
redis-ycsbc,8192,512,0.311621,0.647070,0.688379,1717000
redis-ycsbc,8192,1024,0.321022,0.642504,0.678978,1717000
redis-ycsbc,8192,2048,0.460335,0.502186,0.539665,1717000
redis-ycsbc,8192,4096,0.668446,0.000000,0.331554,1717000
redis-ycsbc,16384,64,0.179795,0.829710,0.820205,1199468
redis-ycsbc,16384,128,0.194171,0.804840,0.805829,1199468
redis-ycsbc,16384,256,0.210110,0.776558,0.789890,1199468
redis-ycsbc,16384,512,0.223038,0.750786,0.776962,1199468
redis-ycsbc,16384,1024,0.229766,0.739003,0.770234,1199468
redis-ycsbc,16384,2048,0.329477,0.625360,0.670523,1199468
redis-ycsbc,16384,4096,0.478429,0.472459,0.521571,1199468
redis-ycsbc,65536,64,0.127578,0.886768,0.872422,422601
redis-ycsbc,65536,128,0.137779,0.877932,0.862221,422601
redis-ycsbc,65536,256,0.149089,0.866508,0.850911,422601
redis-ycsbc,65536,512,0.158262,0.849432,0.841738,422601
redis-ycsbc,65536,1024,0.163036,0.837260,0.836964,422601
redis-ycsbc,65536,2048,0.233789,0.720772,0.766211,422601
redis-ycsbc,65536,4096,0.339481,0.530597,0.660519,422601
redis-ycsbc,262144,64,0.124295,0.892116,0.875705,108441
redis-ycsbc,262144,128,0.134233,0.886408,0.865767,108441
redis-ycsbc,262144,256,0.145252,0.881143,0.854748,108441
redis-ycsbc,262144,512,0.154189,0.878976,0.845811,108441
redis-ycsbc,262144,1024,0.158840,0.878883,0.841160,108441
redis-ycsbc,262144,2048,0.227772,0.764121,0.772228,108441
redis-ycsbc,262144,4096,0.330745,0.535397,0.669255,108441
redis-ycsbc,2097152,64,0.122819,0.891894,0.877181,13718
redis-ycsbc,2097152,128,0.132639,0.887083,0.867361,13718
redis-ycsbc,2097152,256,0.143527,0.881688,0.856473,13718
redis-ycsbc,2097152,512,0.152358,0.879939,0.847642,13718
redis-ycsbc,2097152,1024,0.156954,0.879720,0.843046,13718
redis-ycsbc,2097152,2048,0.225068,0.767167,0.774932,13718
redis-ycsbc,2097152,4096,0.326818,0.544686,0.673182,13718
