benchmark,policy,amat_ns,speedup_vs_allcxl,gap_closed,migrations
gapbs-bc,all-CXL,220.000,1.0000,0.0000,0
gapbs-bc,all-local,100.000,2.2000,1.0000,0
gapbs-bc,oracle,120.638,1.8236,0.8280,602085
gapbs-bc,count-only,128.871,1.7071,0.7594,455090
gapbs-bc,hpt-driven,139.361,1.5786,0.6720,551672
gapbs-bc,hwt-driven,131.992,1.6668,0.7334,521036
gapbs-bfs,all-CXL,220.000,1.0000,0.0000,0
gapbs-bfs,all-local,100.000,2.2000,1.0000,0
gapbs-bfs,oracle,136.282,1.6143,0.6976,607288
gapbs-bfs,count-only,151.488,1.4523,0.5709,611652
gapbs-bfs,hpt-driven,165.531,1.3291,0.4539,632165
gapbs-bfs,hwt-driven,153.819,1.4303,0.5515,614648
gapbs-cc,all-CXL,220.000,1.0000,0.0000,0
gapbs-cc,all-local,100.000,2.2000,1.0000,0
gapbs-cc,oracle,134.384,1.6371,0.7135,574570
gapbs-cc,count-only,144.488,1.5226,0.6293,573204
gapbs-cc,hpt-driven,151.609,1.4511,0.5699,575275
gapbs-cc,hwt-driven,149.644,1.4702,0.5863,573254
gapbs-pr,all-CXL,220.000,1.0000,0.0000,0
gapbs-pr,all-local,100.000,2.2000,1.0000,0
gapbs-pr,oracle,152.517,1.4425,0.5624,1119211
gapbs-pr,count-only,154.472,1.4242,0.5461,1118991
gapbs-pr,hpt-driven,173.359,1.2690,0.3887,1252144
gapbs-pr,hwt-driven,154.551,1.4235,0.5454,1119172
gapbs-sssp,all-CXL,220.000,1.0000,0.0000,0
gapbs-sssp,all-local,100.000,2.2000,1.0000,0
gapbs-sssp,oracle,138.785,1.5852,0.6768,537840
gapbs-sssp,count-only,156.231,1.4082,0.5314,451057
gapbs-sssp,hpt-driven,155.799,1.4121,0.5350,497878
gapbs-sssp,hwt-driven,156.062,1.4097,0.5328,468495
gapbs-tc,all-CXL,220.000,1.0000,0.0000,0
gapbs-tc,all-local,100.000,2.2000,1.0000,0
gapbs-tc,oracle,135.162,1.6277,0.7070,93651
gapbs-tc,count-only,143.168,1.5367,0.6403,100840
gapbs-tc,hpt-driven,151.551,1.4517,0.5704,125076
gapbs-tc,hwt-driven,150.026,1.4664,0.5831,113303
