benchmark,policy,hit_rate,useful_byte_frac
gapbs-bc,oracle,0.918726,0.704921
gapbs-bc,count-only,0.828541,0.518960
gapbs-bc,hpt-driven,0.757037,0.533026
gapbs-bc,hwt-driven,0.812823,0.547393
gapbs-bfs,oracle,0.838891,0.743899
gapbs-bfs,count-only,0.736327,0.635015
gapbs-bfs,hpt-driven,0.618681,0.543337
gapbs-bfs,hwt-driven,0.674632,0.568548
gapbs-cc,oracle,0.857890,0.747689
gapbs-cc,count-only,0.795146,0.710075
gapbs-cc,hpt-driven,0.702467,0.488631
gapbs-cc,hwt-driven,0.712715,0.496695
gapbs-pr,oracle,0.671003,0.972280
gapbs-pr,count-only,0.654678,0.971055
gapbs-pr,hpt-driven,0.510275,0.986665
gapbs-pr,hwt-driven,0.654046,0.971153
gapbs-sssp,oracle,0.877569,0.686216
gapbs-sssp,count-only,0.703845,0.439637
gapbs-sssp,hpt-driven,0.723942,0.480508
gapbs-sssp,hwt-driven,0.711069,0.460868
gapbs-tc,oracle,0.728272,0.622538
gapbs-tc,count-only,0.664295,0.595414
gapbs-tc,hpt-driven,0.599788,0.550267
gapbs-tc,hwt-driven,0.609951,0.530816
