epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,234833,40000001,63.769210,0.001039,0.001780,0.002440,0.003947,0.004940
1,133007,40000000,46.622268,0.042840,0.053042,0.062959,0.084063,0.562188
2,134345,40000001,46.440374,0.049678,0.061692,0.072917,0.094138,0.561658
3,134220,40000000,46.496670,0.050067,0.061548,0.072716,0.094591,0.560729
4,131985,40000000,47.041437,0.044088,0.054279,0.064553,0.084032,0.554108
5,134582,40000000,46.482680,0.051025,0.063077,0.074572,0.096417,0.559146
6,134097,40000000,46.649500,0.048532,0.059957,0.071247,0.093432,0.556701
7,182086,40000000,42.919176,0.100222,0.129142,0.159007,0.214646,0.588486
8,260994,40000000,34.819222,0.143363,0.187479,0.265500,0.560680,0.602420
9,286586,40000000,32.080625,0.188373,0.241474,0.318254,0.600347,0.643863
10,346810,40000000,27.180479,0.235189,0.313258,0.406560,0.678588,0.728592
11,390416,40000000,24.588075,0.240723,0.344904,0.448601,0.724458,0.778680
12,447819,40000000,21.948667,0.229338,0.373821,0.493088,0.776302,0.830661
13,513189,40000000,19.742769,0.200830,0.383570,0.534154,0.825922,0.877036
14,589797,40000000,17.913006,0.183782,0.358323,0.576814,0.872841,0.916093
15,674513,40000000,16.705847,0.190118,0.330919,0.593544,0.907000,0.943255
16,752566,40000000,16.467661,0.188312,0.337912,0.582171,0.924048,0.952824
17,811140,40000000,16.848789,0.183283,0.358705,0.642227,0.869158,0.912076
18,858323,40000000,15.299250,0.292107,0.532389,0.776627,0.842548,0.876694
19,448973,40000000,30.072987,0.131890,0.182452,0.293639,0.614759,0.716647
20,992119,40000000,19.013723,0.095078,0.240704,0.584762,0.846717,0.887774
21,769390,40000000,18.093922,0.367464,0.582114,0.696652,0.718413,0.853445
22,491943,40000000,23.746928,0.488821,0.494661,0.500505,0.547011,0.822961
23,157226,40000000,47.323801,0.097338,0.113372,0.128350,0.154682,0.386717
24,155105,40000000,47.794442,0.092357,0.106463,0.120215,0.145385,0.378460
25,157477,40000000,47.365183,0.096160,0.111896,0.127149,0.153908,0.387942
26,174205,38117853,51.078700,0.045624,0.056089,0.066571,0.085795,0.386458
