epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,199654,42000001,62.814118,0.003817,0.006897,0.012432,0.019173,0.026997
1,197674,42000000,56.220843,0.068881,0.079378,0.097752,0.122125,0.146033
2,223249,42000000,53.159369,0.096816,0.112189,0.138952,0.171907,0.207445
3,250021,42000000,49.287380,0.128893,0.152159,0.190260,0.235800,0.285068
4,276805,42000000,45.590611,0.157519,0.188862,0.238626,0.296884,0.359871
5,308281,42000000,41.684888,0.182084,0.224172,0.289908,0.362497,0.441114
6,348348,42000000,37.479853,0.201307,0.261968,0.347021,0.434494,0.529643
7,396136,42000000,33.426078,0.205720,0.293780,0.401221,0.504721,0.618681
8,456824,42000000,29.385026,0.191739,0.321135,0.457787,0.578645,0.708695
9,538102,42000000,25.396378,0.164991,0.338155,0.517458,0.656632,0.795979
10,649259,42000000,21.496335,0.158655,0.333281,0.580628,0.741699,0.872017
11,782235,42000000,18.282416,0.177458,0.345266,0.608373,0.828888,0.921584
12,923717,42000000,15.856749,0.201710,0.400091,0.627477,0.901733,0.950527
13,1032352,42000000,13.810706,0.253577,0.483715,0.750727,0.888614,0.955812
14,1089590,42000000,11.710923,0.377392,0.664969,0.871450,0.893854,0.897329
15,945971,16185592,7.611143,0.744936,0.877489,0.886148,0.913323,0.955551
