epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,107291,10000001,63.901110,0.000541,0.000839,0.001202,0.001594,0.002134
1,79002,10000001,63.920863,0.001038,0.001177,0.001240,0.001304,0.001316
2,87357,10000001,63.988232,0.000126,0.000160,0.000172,0.000183,0.000217
3,104503,10000000,33.821144,0.009119,0.012727,0.229716,0.650795,0.656374
4,106815,10000000,30.494266,0.011646,0.014464,0.032776,0.640940,0.943716
5,106781,10000000,30.848250,0.012315,0.015265,0.028985,0.635834,0.944410
6,107744,10000001,30.844260,0.016539,0.020623,0.033542,0.635729,0.944461
7,107292,10000001,30.977808,0.015593,0.019060,0.030450,0.633607,0.945448
8,107545,10000001,31.044233,0.016375,0.020224,0.032238,0.632517,0.944749
9,107140,10000000,31.144129,0.015027,0.018845,0.029335,0.631548,0.945483
10,107851,10000001,31.053657,0.017469,0.021502,0.032730,0.632215,0.945276
11,107251,10000000,31.198655,0.015431,0.019301,0.029781,0.629318,0.945269
12,107177,10000001,31.211725,0.015087,0.018875,0.029036,0.629445,0.945613
13,107270,10000001,31.225310,0.015736,0.019232,0.029272,0.629244,0.945437
14,107764,10000000,31.156824,0.017343,0.021547,0.032228,0.629923,0.945808
15,107436,10000000,31.257660,0.016382,0.019844,0.030353,0.628579,0.944925
16,107202,10000001,31.290051,0.015671,0.019160,0.028721,0.628095,0.945729
17,106052,10000000,31.670944,0.011636,0.014446,0.022612,0.621846,0.947167
18,107014,10000000,31.377502,0.014241,0.017530,0.027342,0.626619,0.945474
19,107095,10000001,31.367244,0.014660,0.018283,0.028106,0.626593,0.945469
20,106943,10000001,31.415838,0.014223,0.017757,0.027089,0.624866,0.945504
21,108060,10000000,31.137849,0.019517,0.023866,0.034324,0.629974,0.946095
22,107234,10000000,31.364026,0.015340,0.019182,0.028955,0.625912,0.945335
23,107739,10000001,31.263117,0.016818,0.020800,0.031177,0.626997,0.944904
24,107344,10000000,31.330470,0.015725,0.019302,0.028963,0.626817,0.945465
25,107645,10000001,31.290213,0.016174,0.020335,0.030870,0.627684,0.945042
26,107148,10000000,31.429602,0.014578,0.018106,0.027569,0.625033,0.944740
27,107355,10000000,31.333706,0.016161,0.019859,0.029519,0.626212,0.945312
28,107468,10000000,31.312670,0.016898,0.020490,0.030539,0.627601,0.946217
29,106944,10000000,31.472369,0.013802,0.017224,0.026490,0.624551,0.945439
30,124708,10000000,31.201382,0.048497,0.063236,0.194855,0.626880,0.693035
31,138427,10000000,26.439596,0.150744,0.447890,0.580508,0.616029,0.638228
32,139305,10000000,26.348903,0.152478,0.448907,0.581745,0.618197,0.640594
33,139379,10000000,26.372761,0.150747,0.447406,0.581580,0.617754,0.640218
34,137989,10000000,26.620781,0.146693,0.440897,0.578937,0.614375,0.635884
35,140043,10000000,26.322215,0.151232,0.445020,0.581764,0.619274,0.642803
36,139801,10000000,26.359833,0.151301,0.445061,0.582077,0.618801,0.640940
37,139592,10000001,26.423334,0.148855,0.443937,0.580499,0.617736,0.640502
38,153536,10000000,24.170546,0.208550,0.487540,0.614064,0.654713,0.677229
39,165033,10000000,22.602261,0.246272,0.515036,0.635855,0.680549,0.705217
40,168508,10000000,22.195290,0.253804,0.519969,0.640961,0.688086,0.713112
41,170804,10000000,21.978683,0.248747,0.515269,0.641244,0.694152,0.720539
42,171107,10000000,22.013939,0.234882,0.505426,0.637502,0.695641,0.725236
43,171062,10000000,22.031000,0.234529,0.505688,0.638231,0.695619,0.724386
44,185560,10000000,20.372532,0.284641,0.540391,0.662772,0.722020,0.750011
45,195819,10000000,19.380407,0.309260,0.559231,0.677743,0.738794,0.766923
46,200651,10000000,18.958206,0.317083,0.563989,0.682623,0.746605,0.775336
47,208277,10000000,18.320693,0.330320,0.574624,0.691099,0.759412,0.786971
48,215886,10000000,17.744703,0.339480,0.582743,0.699943,0.770106,0.797421
49,223851,10000000,17.179838,0.349733,0.591152,0.706993,0.781154,0.808319
50,233696,10000000,16.527878,0.360896,0.602013,0.717415,0.793818,0.820053
51,244326,10000000,15.887826,0.373022,0.611998,0.726799,0.806828,0.831537
52,252443,10000000,15.443387,0.377349,0.617791,0.734162,0.816105,0.840281
53,262648,10000000,14.918431,0.383277,0.625187,0.742450,0.827305,0.850328
54,275499,10000000,14.308644,0.394383,0.637157,0.753476,0.839695,0.860627
55,286338,10000000,13.841932,0.397984,0.645199,0.762882,0.849688,0.868739
56,299707,10000000,13.313329,0.403991,0.654112,0.772908,0.861468,0.877721
57,313196,10000000,12.841307,0.407183,0.663067,0.784260,0.871234,0.885765
58,330501,10000000,12.287769,0.409085,0.673695,0.798491,0.882784,0.894878
59,348343,10000000,11.778448,0.410719,0.683367,0.812237,0.893042,0.903058
60,367156,10000000,11.312644,0.407424,0.692727,0.826820,0.902017,0.910177
61,388433,10000000,10.836440,0.407087,0.702497,0.843108,0.909843,0.916812
62,410209,10000000,10.406620,0.404786,0.712559,0.859516,0.916143,0.922391
63,436514,10000000,9.952414,0.403123,0.719892,0.877729,0.922342,0.928050
64,465122,10000000,9.537964,0.405470,0.722759,0.895260,0.927449,0.933291
65,496379,10000000,9.159973,0.410958,0.719746,0.910458,0.932404,0.938555
66,530484,10000000,8.809534,0.424608,0.716022,0.922556,0.936890,0.943970
67,566933,10000000,8.512794,0.444830,0.715956,0.928822,0.940896,0.949505
68,606974,10000000,8.275438,0.465910,0.726196,0.924893,0.944568,0.955947
69,646397,10000000,8.134301,0.483164,0.747293,0.904255,0.947637,0.963809
70,683171,10000000,8.088944,0.499142,0.771482,0.875620,0.949977,0.973223
71,717849,10000000,8.138699,0.516152,0.792417,0.862980,0.949683,0.984690
72,742841,10000000,8.273620,0.563418,0.803401,0.863995,0.924342,0.992628
73,727216,10000000,8.935480,0.529921,0.785899,0.860046,0.875897,0.995356
74,676629,10000001,8.962527,0.636782,0.829376,0.851405,0.920785,0.950500
75,212042,10000000,23.762198,0.231176,0.236062,0.270597,0.722442,0.941634
76,199708,10000001,25.128608,0.183293,0.188085,0.217788,0.652042,0.989550
77,189405,10000000,26.442591,0.138877,0.143930,0.174758,0.634075,0.989087
78,182195,10000000,27.459403,0.104844,0.109948,0.142238,0.617898,0.988787
79,414409,10000000,17.067055,0.208041,0.337191,0.529762,0.887271,0.968509
80,466091,10000000,15.161078,0.290235,0.431027,0.603723,0.886132,0.979249
81,524480,10000000,13.455003,0.277351,0.490791,0.694499,0.909993,0.985555
82,562698,10000000,12.393762,0.297605,0.514393,0.740930,0.926767,0.990128
83,577812,10000000,11.713718,0.364707,0.542434,0.727186,0.936536,0.993635
84,568541,10000000,11.356064,0.447614,0.570838,0.699983,0.935123,0.995663
85,539132,10000000,11.348757,0.508337,0.573149,0.692246,0.917501,0.996504
86,493026,10000000,11.795258,0.514411,0.553097,0.692404,0.889515,0.996341
87,441347,10000000,12.624932,0.483844,0.554289,0.658162,0.862179,0.995928
88,392369,10000000,13.759053,0.457100,0.559292,0.609544,0.836223,0.995316
89,348095,10000000,15.154774,0.443459,0.527141,0.556851,0.810759,0.994447
90,142850,10000000,29.064788,0.156500,0.240119,0.247574,0.605117,0.872692
91,112491,10000000,36.013263,0.031087,0.036154,0.040937,0.473611,0.856095
92,113107,10000000,35.823698,0.034445,0.039838,0.045125,0.477963,0.858470
93,113189,10000000,35.836936,0.034906,0.040666,0.046082,0.476460,0.858334
94,113201,10000000,35.803650,0.034629,0.040150,0.045724,0.478468,0.858190
95,112847,10000000,35.888894,0.033062,0.038716,0.043794,0.476353,0.857657
96,113055,10000000,35.845668,0.034488,0.039644,0.044934,0.477803,0.858777
97,113148,10000000,35.861359,0.034336,0.039568,0.044658,0.477772,0.858424
98,111666,10000000,36.223407,0.029355,0.033824,0.038132,0.462854,0.852775
99,112350,10000000,36.054820,0.030752,0.035372,0.040249,0.473111,0.856484
100,112293,10000000,36.057430,0.029993,0.034953,0.040216,0.472995,0.856402
101,113584,10000000,35.714141,0.036924,0.042673,0.048149,0.479988,0.859241
102,113396,10000000,35.816184,0.034111,0.039640,0.045090,0.480414,0.858919
103,113297,10000000,35.810878,0.034299,0.040001,0.045570,0.478883,0.857675
104,112940,10000000,35.948096,0.032203,0.037312,0.042430,0.476350,0.857747
105,113149,10000000,35.829985,0.034503,0.039611,0.044790,0.479235,0.858293
106,112355,10000000,36.007263,0.030777,0.035477,0.040443,0.474763,0.857452
107,134447,8117838,29.390838,0.005467,0.028509,0.395591,0.735531,0.741735
