epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,107493,10000001,63.900942,0.000530,0.000837,0.001219,0.001609,0.002130
1,58192,10000000,63.278578,0.005877,0.006771,0.008300,0.011600,0.014882
2,62695,10000000,54.140872,0.024388,0.027642,0.034038,0.042444,0.206763
3,68260,10000000,54.497553,0.031614,0.037093,0.045795,0.056959,0.147378
4,70791,10000000,54.189770,0.040330,0.046927,0.057112,0.071323,0.137249
5,72865,10000000,54.027256,0.044466,0.051410,0.064036,0.079256,0.135250
6,73587,10000000,54.108402,0.044926,0.051803,0.063952,0.080897,0.130594
7,75790,10000000,53.587954,0.052302,0.060298,0.074443,0.092822,0.139385
8,77929,10000000,52.309025,0.067048,0.076878,0.094509,0.117107,0.163713
9,77506,10000000,52.881261,0.061969,0.071543,0.087696,0.108405,0.150530
10,79376,10000000,51.977562,0.071621,0.082317,0.101013,0.124748,0.169925
11,81045,10000000,51.510544,0.076661,0.087951,0.108347,0.133987,0.180159
12,82024,10000000,50.940139,0.083622,0.096886,0.118331,0.144714,0.190456
13,84835,10000000,49.446278,0.099145,0.114528,0.140673,0.171922,0.221630
14,86190,10000000,49.086820,0.102692,0.119074,0.146316,0.178826,0.228426
15,87828,10000000,48.271041,0.111012,0.129173,0.158116,0.193594,0.245776
16,88879,10000000,47.797736,0.116349,0.135004,0.165236,0.201780,0.256022
17,90401,10000000,47.155308,0.122377,0.142233,0.174345,0.213803,0.269311
18,93319,10000000,46.302221,0.132042,0.153270,0.188054,0.228903,0.286608
19,95210,10000000,45.183762,0.143525,0.167335,0.204926,0.249102,0.309211
20,97820,10000000,44.047148,0.155377,0.180679,0.222633,0.268902,0.332550
21,100396,10000000,43.423174,0.160076,0.186930,0.230816,0.280330,0.347175
22,101716,10000000,42.357790,0.171566,0.200037,0.247001,0.299451,0.367828
23,104387,10000000,41.870242,0.177206,0.207210,0.256239,0.308353,0.377173
24,108493,10000000,40.515858,0.189542,0.221977,0.276276,0.333118,0.405667
25,110706,10000000,39.620825,0.197469,0.232038,0.289307,0.348644,0.424114
26,114616,10000000,38.130497,0.213216,0.251719,0.313551,0.375401,0.452781
27,117913,10000000,37.561015,0.218458,0.259064,0.323323,0.385700,0.465911
28,122534,10000000,36.053177,0.233323,0.278168,0.346655,0.413314,0.494883
29,125981,10000000,35.013986,0.243441,0.289186,0.362944,0.431756,0.516776
30,131145,10000000,33.763735,0.254108,0.304381,0.382470,0.454108,0.542918
31,136443,10000000,32.426874,0.267533,0.321292,0.404638,0.478478,0.568934
32,140645,10000000,31.770401,0.272253,0.328792,0.414462,0.490092,0.584400
33,145245,10000000,30.594396,0.283548,0.342924,0.433888,0.513236,0.606554
34,153114,10000000,29.058323,0.296635,0.362893,0.459847,0.540388,0.637995
35,159959,10000000,27.980482,0.304697,0.375177,0.479060,0.561725,0.659025
36,166235,10000000,27.127476,0.313195,0.386970,0.493560,0.576768,0.676759
37,174634,10000000,25.707308,0.322148,0.402442,0.517396,0.604630,0.705281
38,182705,10000000,24.657081,0.329290,0.416316,0.538097,0.624488,0.725229
39,195065,10000000,23.177987,0.340174,0.435967,0.564043,0.653064,0.754887
40,202946,10000000,22.490958,0.342313,0.444212,0.579445,0.666887,0.767835
41,215323,10000000,21.272642,0.351848,0.463936,0.604046,0.691166,0.789456
42,228423,10000000,20.023527,0.356672,0.481094,0.630208,0.716294,0.811560
43,244437,10000000,18.783601,0.357458,0.499212,0.657135,0.742527,0.833012
44,259441,10000000,17.781499,0.358879,0.514286,0.678012,0.764047,0.850259
45,273892,10000000,17.001895,0.358039,0.527496,0.697760,0.781257,0.861241
46,291833,10000000,16.053623,0.355189,0.544675,0.722471,0.802445,0.874353
47,317649,10000000,14.816562,0.352701,0.569988,0.752362,0.829570,0.890310
48,339424,10000000,13.951621,0.345939,0.586703,0.775001,0.849866,0.900037
49,363658,10000001,13.074213,0.346314,0.608344,0.799149,0.869042,0.907325
50,397792,10000000,12.171303,0.342435,0.629357,0.822900,0.889186,0.915471
51,430345,10000000,11.305464,0.350277,0.649653,0.845245,0.906099,0.922776
52,467979,10000000,10.494163,0.363719,0.669819,0.866453,0.919665,0.929396
53,504616,10000000,9.765618,0.391194,0.691254,0.884486,0.929037,0.934645
54,549818,10000000,9.132393,0.424912,0.713753,0.900931,0.935337,0.938740
55,597455,10000000,8.505939,0.468753,0.738892,0.913592,0.941266,0.943514
56,641221,10000000,8.019082,0.521193,0.766349,0.917210,0.944974,0.946164
57,682501,10000000,7.619803,0.578448,0.793423,0.910416,0.948177,0.948958
58,720484,10000000,7.314318,0.638632,0.820107,0.898836,0.950071,0.950361
59,754481,10000000,7.065551,0.690218,0.843059,0.888162,0.952082,0.952182
60,783924,10000000,6.925508,0.730015,0.857514,0.881323,0.952822,0.953108
61,804436,10000000,6.800381,0.763725,0.865863,0.879057,0.953054,0.953796
62,814995,10000000,6.711435,0.791856,0.869879,0.877758,0.952425,0.953425
63,819014,10000000,6.630830,0.812329,0.871702,0.877244,0.951945,0.953146
64,679755,6185591,5.961407,0.834957,0.851916,0.907131,0.946323,0.946876
