# hotskew probe summary (simulator-driven)
epochs             1
page_observations  604127
dram_accesses      451441535
mean_unique_words  63.603 / 64

# full unique-word histogram (words,pages)
0,0
1,510
2,294
3,299
4,310
5,302
6,268
7,238
8,206
9,148
10,122
11,101
12,90
13,56
14,63
15,58
16,66
17,54
18,39
19,55
20,41
21,45
22,42
23,46
24,50
25,49
26,49
27,46
28,40
29,40
30,43
31,38
32,44
33,48
34,39
35,37
36,42
37,36
38,37
39,36
40,61
41,54
42,31
43,49
44,54
45,54
46,50
47,53
48,59
49,52
50,84
51,209
52,58
53,61
54,68
55,90
56,91
57,71
58,89
59,93
60,123
61,233
62,161
63,485
64,597567

# N, hpt_access_ratio, hwt_access_ratio
128,0.1280,0.0165
512,0.2397,0.0349
2048,0.4078,0.1503
8192,0.8530,0.2886
