# hotskew probe summary (simulator-driven)
epochs             46
page_observations  4623971
dram_accesses      451441535
mean_unique_words  46.851 / 64

# full unique-word histogram (words,pages)
0,0
1,292768
2,93113
3,58125
4,58877
5,44145
6,37183
7,36490
8,33940
9,30614
10,30546
11,29366
12,27782
13,27503
14,27501
15,28003
16,29683
17,30430
18,30762
19,31776
20,32071
21,32056
22,32276
23,32960
24,33947
25,35214
26,35444
27,35765
28,36093
29,36182
30,37080
31,37654
32,38527
33,40200
34,41607
35,42089
36,43188
37,44298
38,45169
39,46523
40,47917
41,48697
42,50167
43,50859
44,51391
45,52421
46,52926
47,54077
48,54660
49,55859
50,58091
51,59322
52,60297
53,62553
54,63812
55,66360
56,69689
57,75100
58,80895
59,88589
60,99006
61,112036
62,131990
63,170991
64,1169316

# N, hpt_access_ratio, hwt_access_ratio
128,0.4081,0.2213
512,0.3195,0.2220
2048,0.3377,0.2458
8192,0.3718,0.3351
