# hotskew probe summary (simulator-driven)
epochs             45
page_observations  4340979
dram_accesses      447210722
mean_unique_words  48.278 / 64

# full unique-word histogram (words,pages)
0,0
1,317683
2,130155
3,77964
4,61308
5,48653
6,41055
7,39790
8,37269
9,35082
10,34939
11,34137
12,31714
13,31551
14,35442
15,35579
16,36052
17,36459
18,35943
19,36145
20,36334
21,37411
22,37695
23,38159
24,38899
25,39345
26,39653
27,39950
28,39882
29,39158
30,38626
31,38558
32,38101
33,37972
34,37460
35,36686
36,36245
37,35636
38,34746
39,35060
40,34313
41,33158
42,32243
43,31194
44,30736
45,30720
46,29910
47,29149
48,29124
49,28821
50,28488
51,27957
52,27373
53,26323
54,25274
55,24834
56,24360
57,24327
58,24504
59,24678
60,26557
61,32021
62,47707
63,98116
64,1676596

# N, hpt_access_ratio, hwt_access_ratio
128,0.4520,0.0865
512,0.3845,0.0870
2048,0.3959,0.1347
8192,0.7082,0.3502
