epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,375996,10000000,10.502295,0.440616,0.621291,0.759016,0.936393,0.972348
1,391777,10000000,10.134362,0.458000,0.636796,0.769103,0.939134,0.975596
2,403417,10000000,9.876825,0.469113,0.647206,0.776512,0.941029,0.979086
3,412778,10000000,9.659509,0.478383,0.656663,0.782161,0.943766,0.982099
4,421570,10000000,9.521828,0.481737,0.661425,0.785753,0.945755,0.984093
5,429364,10000000,9.374305,0.486012,0.665752,0.789458,0.948629,0.985993
6,435465,10000000,9.244125,0.490765,0.670685,0.793255,0.950843,0.986993
7,443139,10000001,9.136892,0.491313,0.673473,0.797052,0.953798,0.987907
8,448095,10000000,9.038405,0.494900,0.677642,0.799348,0.955628,0.988398
9,454433,10000000,8.958991,0.494693,0.679260,0.802153,0.957838,0.988988
10,458160,10000000,8.862085,0.497634,0.682373,0.805413,0.959833,0.989351
11,463856,10000001,8.790937,0.498944,0.684603,0.807915,0.961296,0.989788
12,468775,10000000,8.746902,0.498572,0.686169,0.809753,0.962658,0.989818
13,472989,10000000,8.662491,0.501018,0.689661,0.813539,0.963879,0.989841
14,476827,10000000,8.602114,0.501503,0.691213,0.815153,0.965428,0.990332
15,480863,10000001,8.537186,0.502865,0.692829,0.818491,0.966537,0.990405
16,483352,10000000,8.485110,0.503945,0.694910,0.820456,0.967394,0.990421
17,486766,10000000,8.420839,0.504610,0.696567,0.823414,0.968825,0.990564
18,490006,10000000,8.372577,0.504924,0.698624,0.825702,0.969739,0.990682
19,374967,4962584,6.390733,0.601565,0.782490,0.891558,0.985620,0.994117
