epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,192380,10000000,20.843627,0.256342,0.300676,0.402256,0.776708,0.908322
1,192156,10000000,20.755386,0.259185,0.303347,0.405072,0.777925,0.908845
2,192263,10000001,20.766081,0.258911,0.302872,0.404768,0.777289,0.908287
3,191845,10000000,20.782210,0.259173,0.303719,0.404723,0.777273,0.908609
4,192400,10000000,20.766752,0.259485,0.304075,0.404387,0.778093,0.908389
5,192100,10000000,20.781088,0.258532,0.302405,0.404763,0.777798,0.908980
6,192047,10000000,20.797945,0.259145,0.302598,0.401501,0.777377,0.908470
7,192080,10000000,20.783533,0.257913,0.301567,0.403905,0.777301,0.909080
8,192095,10000000,20.778058,0.260319,0.303454,0.404217,0.777860,0.908399
9,192455,10000000,20.725250,0.259604,0.303510,0.404895,0.778904,0.908971
10,192204,10000000,20.757773,0.261519,0.305644,0.405122,0.776888,0.908477
11,66903,1412072,13.949001,0.384661,0.429562,0.539707,0.911125,0.967700
