epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,177331,10000000,24.064490,0.001353,0.006310,0.620613,0.850855,0.939621
1,176645,10000000,24.097778,0.001330,0.006352,0.619400,0.850802,0.939008
2,177052,10000000,24.065935,0.001339,0.006230,0.621298,0.850191,0.939458
3,176804,10000000,24.080422,0.001352,0.006318,0.620919,0.849602,0.939679
4,176739,10000000,24.064440,0.001352,0.006337,0.620916,0.850192,0.939804
5,176937,10000000,24.078016,0.001390,0.006240,0.620503,0.850122,0.939702
6,177048,10000000,24.055889,0.001203,0.006230,0.621651,0.850950,0.939553
7,177342,10000000,24.075453,0.001314,0.006327,0.621257,0.850148,0.939479
8,177443,10000000,24.077405,0.001279,0.006030,0.620797,0.850318,0.939304
9,177127,10000000,24.054159,0.001361,0.006052,0.622525,0.850452,0.939580
10,176964,10000000,24.070506,0.001305,0.006114,0.620663,0.850891,0.939717
11,176760,10000000,24.068319,0.001216,0.006138,0.621656,0.850651,0.939240
12,171251,9421181,23.807435,0.001688,0.007877,0.628866,0.855808,0.941157
