epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,82962,10000001,63.871363,0.000723,0.001121,0.001579,0.002073,0.002748
1,86318,10000000,63.998899,0.000000,0.000000,0.000000,0.000012,0.000023
2,86318,10000000,63.998899,0.000000,0.000000,0.000000,0.000012,0.000023
3,87955,10000000,63.923654,0.000955,0.001126,0.001205,0.001251,0.001262
4,49263,10000000,57.342955,0.056290,0.061710,0.076203,0.096137,0.111767
5,69505,10000001,42.915848,0.149586,0.178390,0.233264,0.299950,0.373570
6,78472,10000000,39.852380,0.142943,0.188093,0.268886,0.367953,0.449141
7,87612,10000000,36.201377,0.196651,0.245743,0.331690,0.434381,0.510820
8,109742,10000000,29.918773,0.212763,0.290263,0.426418,0.563166,0.645869
9,124511,10000000,27.021862,0.184988,0.297725,0.464304,0.630884,0.715294
10,149263,10000000,23.217080,0.178397,0.301193,0.530915,0.714149,0.797398
11,171875,10000001,21.023087,0.177996,0.276771,0.561129,0.769536,0.848739
12,190120,10000001,19.737092,0.176331,0.302288,0.542505,0.818341,0.872028
13,216845,10000000,21.743015,0.105495,0.223035,0.469118,0.822325,0.875690
14,224007,10000000,16.816430,0.233225,0.503377,0.783694,0.822242,0.841442
15,91749,10000001,27.790842,0.451078,0.530371,0.538044,0.563363,0.613663
16,105948,10000000,42.647119,0.049336,0.070771,0.108487,0.347019,0.469202
17,130560,10000000,33.820213,0.187914,0.282537,0.362699,0.485830,0.548813
18,162265,10000000,28.021175,0.141386,0.265596,0.431418,0.623776,0.708089
19,185772,10000000,24.853557,0.127624,0.228797,0.441670,0.713934,0.810639
20,201400,10000000,22.703337,0.147989,0.255035,0.463977,0.753059,0.869012
21,137547,4675236,19.236719,0.377049,0.530022,0.706937,0.738628,0.784525
