epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,82967,10000001,63.867658,0.000771,0.001193,0.001651,0.002133,0.002820
1,86318,10000000,63.998923,0.000012,0.000012,0.000012,0.000012,0.000012
2,86318,10000000,63.998923,0.000012,0.000012,0.000012,0.000012,0.000012
3,79573,10000000,63.913312,0.001081,0.001282,0.001382,0.001420,0.001433
4,98313,10000000,63.974795,0.000132,0.000153,0.000153,0.000173,0.000173
5,102779,10000000,63.097384,0.000214,0.000272,0.000545,0.000594,0.005731
6,102734,10000000,63.100697,0.000156,0.000224,0.000438,0.000516,0.005967
7,102778,10000000,63.095954,0.000204,0.000302,0.000486,0.000584,0.006120
8,102767,10000000,63.100460,0.000185,0.000292,0.000506,0.000535,0.005712
9,102733,10000000,63.087937,0.000302,0.000506,0.000662,0.000720,0.006210
10,102789,10000000,63.096372,0.000360,0.000467,0.000506,0.000555,0.006149
11,102767,10000000,63.094301,0.000263,0.000457,0.000545,0.000632,0.005858
12,102743,10000000,63.101506,0.000370,0.000389,0.000399,0.000565,0.005859
13,102766,10000000,63.092054,0.000195,0.000341,0.000545,0.000574,0.006345
14,102751,10000000,63.102422,0.000302,0.000321,0.000487,0.000516,0.005616
15,102766,10000000,63.092706,0.000341,0.000457,0.000681,0.000720,0.005984
16,102773,10000000,63.093235,0.000224,0.000360,0.000516,0.000632,0.006140
17,102724,10000000,63.106295,0.000049,0.000097,0.000302,0.000409,0.005841
18,102750,10000000,63.092944,0.000302,0.000428,0.000633,0.000701,0.005898
19,102797,10000000,63.103340,0.000175,0.000272,0.000321,0.000535,0.006129
20,102745,10000000,63.091596,0.000282,0.000350,0.000574,0.000642,0.006219
21,102755,10000000,63.087733,0.000448,0.000496,0.000642,0.000837,0.005907
22,102799,10000000,63.094816,0.000263,0.000340,0.000535,0.000584,0.006245
23,102746,10000001,63.095284,0.000204,0.000389,0.000516,0.000623,0.006151
24,102724,10000000,63.090660,0.000409,0.000467,0.000642,0.000759,0.005890
25,102816,10000000,63.099488,0.000331,0.000360,0.000457,0.000593,0.006108
26,102751,10000000,63.105595,0.000263,0.000292,0.000360,0.000457,0.005781
27,102705,10000001,63.089226,0.000331,0.000380,0.000643,0.000730,0.006037
28,102792,10000000,63.103257,0.000097,0.000224,0.000331,0.000457,0.006178
29,102779,10000000,63.097462,0.000253,0.000321,0.000545,0.000594,0.005877
30,58008,5256049,61.931544,0.001534,0.002034,0.002482,0.002620,0.040063
