epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,82962,10000001,63.871399,0.000711,0.001121,0.001579,0.002073,0.002760
1,86318,10000000,63.998911,0.000000,0.000000,0.000000,0.000012,0.000023
2,86318,10000000,63.998911,0.000000,0.000000,0.000000,0.000012,0.000023
3,86318,10000000,63.998911,0.000000,0.000000,0.000000,0.000012,0.000023
4,86318,10000000,63.998911,0.000000,0.000000,0.000000,0.000012,0.000023
5,86318,10000000,63.998911,0.000000,0.000000,0.000000,0.000012,0.000023
6,92495,10000000,63.928202,0.000887,0.001049,0.001146,0.001178,0.001200
7,87570,10000000,54.395615,0.075608,0.093696,0.112961,0.155179,0.185680
8,124581,10000000,46.227322,0.132901,0.171976,0.208098,0.288246,0.345470
9,154082,10000000,39.518419,0.138348,0.223926,0.280357,0.407257,0.490940
10,192234,10000000,32.674506,0.111640,0.247761,0.349121,0.535441,0.645167
11,239705,10000000,26.820696,0.114253,0.231372,0.386946,0.660428,0.788911
12,275982,10000000,22.898319,0.130845,0.255763,0.422756,0.737842,0.900769
13,301319,10000000,17.307093,0.194538,0.363535,0.623841,0.863656,0.904480
14,302704,7562713,11.143265,0.424269,0.712257,0.887894,0.898313,0.898739
