epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,79590,10000000,63.862395,0.000804,0.001219,0.001696,0.002236,0.002928
1,84328,10000001,63.340290,0.001162,0.002455,0.005372,0.010708,0.015582
2,86348,10000000,58.284349,0.007342,0.015194,0.042410,0.098323,0.144960
3,27851,10000000,27.371225,0.057018,0.108937,0.214606,0.622276,0.984202
4,30903,10000000,31.337314,0.041226,0.077824,0.150406,0.495551,0.918293
5,33587,10000000,33.619168,0.033704,0.065948,0.128413,0.436419,0.844821
6,35928,10000000,35.397712,0.029448,0.058812,0.116038,0.401080,0.788549
7,38136,10000000,36.951647,0.028293,0.055722,0.108821,0.376442,0.744493
8,40233,10000000,37.958368,0.026645,0.052370,0.102925,0.355753,0.711605
9,42233,10000000,38.730377,0.025383,0.049582,0.097554,0.338716,0.685933
10,44212,10000000,39.266059,0.023885,0.047363,0.092961,0.323555,0.669909
11,46206,10000000,39.352335,0.023136,0.045340,0.088993,0.313336,0.677488
12,48250,10000000,39.283295,0.021803,0.043026,0.085057,0.310135,0.689720
13,50810,10000000,39.146546,0.021138,0.040701,0.081303,0.319347,0.697205
14,53045,2545545,27.259120,0.050278,0.125101,0.269300,0.644886,0.922632
