epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,50113,10000001,61.185441,0.028296,0.030970,0.037515,0.046754,0.053120
1,66425,10000000,44.105352,0.149898,0.172736,0.220595,0.274701,0.344569
2,78334,10000001,39.833993,0.144943,0.189611,0.268734,0.367184,0.449460
3,81101,10000000,38.835095,0.158814,0.203154,0.285952,0.386826,0.465222
4,107150,10000000,30.437266,0.222790,0.294904,0.422912,0.552524,0.629715
5,122603,10000001,27.375635,0.187084,0.295759,0.456628,0.623207,0.708025
6,141455,10000000,24.270878,0.188392,0.307745,0.515797,0.686529,0.773949
7,164410,10000000,21.758804,0.178219,0.276394,0.543982,0.751475,0.837084
8,184766,10000000,20.073482,0.181240,0.297041,0.549257,0.800710,0.865706
9,213965,10000000,22.488599,0.106803,0.221574,0.451859,0.748062,0.888084
10,226314,10000000,17.355842,0.180104,0.416510,0.737692,0.830784,0.877604
11,107586,10000000,24.281235,0.473463,0.562889,0.606306,0.627712,0.670617
12,93417,10000000,46.047582,0.072631,0.086076,0.105805,0.164991,0.422546
13,128067,10000000,34.387586,0.191423,0.278510,0.356938,0.473861,0.534330
14,154233,10000000,29.289594,0.153819,0.272199,0.417297,0.590101,0.673488
15,181290,10000000,25.412229,0.128534,0.236069,0.448166,0.695698,0.788924
16,199957,10000000,23.063349,0.139025,0.240327,0.442925,0.751927,0.864321
17,174067,6895293,19.294973,0.307048,0.454101,0.668381,0.787329,0.795383
