epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,197225,9645320,18.297782,0.166211,0.362895,0.707846,0.851408,0.853244
1,196427,10000000,19.471050,0.125278,0.272732,0.606266,0.865334,0.871652
2,26699,1441542,43.663059,0.313907,0.314207,0.319263,0.323832,0.323870
3,195454,10000000,19.042915,0.134789,0.292325,0.634195,0.865365,0.869412
4,17729,999120,49.407299,0.220994,0.229285,0.231316,0.231372,0.231372
5,196627,10000000,19.943304,0.117639,0.257564,0.579936,0.862766,0.872108
6,33641,1782022,40.100324,0.373592,0.373948,0.374038,0.380131,0.381172
7,196230,10000000,19.447297,0.125307,0.273684,0.607522,0.865571,0.871493
8,25956,1406047,44.038527,0.307597,0.308175,0.314070,0.317730,0.317807
9,196705,10000000,20.034920,0.116128,0.254305,0.574744,0.862179,0.872194
10,34799,1835105,39.580850,0.382224,0.382597,0.382626,0.388287,0.389580
11,195593,10000000,19.129810,0.131804,0.287740,0.627737,0.865808,0.870185
12,19733,1094396,47.592510,0.249126,0.256221,0.260427,0.260579,0.260629
13,196041,10000000,19.360180,0.126973,0.277518,0.613275,0.865804,0.871200
14,24248,1317028,44.750454,0.295323,0.296643,0.304479,0.306211,0.306252
