epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,196349,10000000,19.119308,0.127497,0.278962,0.618969,0.869813,0.874835
1,59238,3762220,33.638273,0.090550,0.196631,0.428475,0.583207,0.585030
2,196352,10000000,19.101125,0.126726,0.277624,0.616388,0.869617,0.875367
3,38010,3237777,45.583715,0.054722,0.118521,0.258564,0.352118,0.353302
4,196353,10000000,19.101032,0.126731,0.277628,0.616390,0.869617,0.875367
5,38010,3237790,45.583925,0.054722,0.118521,0.258537,0.352118,0.353302
6,196354,10000000,19.100935,0.126735,0.277631,0.616392,0.869618,0.875368
7,38010,3237781,45.583820,0.054749,0.118521,0.258564,0.352118,0.353302
8,196353,10000000,19.101027,0.126731,0.277628,0.616390,0.869617,0.875367
9,38010,3237801,45.584083,0.054749,0.118521,0.258537,0.352092,0.353302
10,196353,10000000,19.101032,0.126731,0.277628,0.616390,0.869617,0.875367
11,38011,3237868,45.583699,0.054721,0.118518,0.258504,0.352135,0.353319
12,196353,10000000,19.101032,0.126731,0.277628,0.616390,0.869617,0.875367
13,38011,3237876,45.583831,0.054747,0.118518,0.258504,0.352135,0.353319
14,196354,10000000,19.100925,0.126735,0.277631,0.616392,0.869618,0.875368
15,38010,3237799,45.584004,0.054722,0.118521,0.258537,0.352118,0.353302
