epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,90704,10000000,63.987840,0.000143,0.000176,0.000187,0.000198,0.000209
1,102870,10000000,63.095577,0.000156,0.000204,0.000331,0.000515,0.006202
2,102828,10000000,63.090549,0.000233,0.000282,0.000506,0.000603,0.006418
3,102792,10000000,63.077166,0.000321,0.000486,0.000681,0.000749,0.006693
4,102878,10000000,63.085538,0.000272,0.000350,0.000583,0.000622,0.006347
5,102807,10000000,63.101024,0.000156,0.000233,0.000292,0.000496,0.006157
6,102819,10000000,63.075667,0.000438,0.000515,0.000710,0.000856,0.006555
7,102830,10000000,63.093834,0.000097,0.000253,0.000428,0.000506,0.006292
8,102836,10000000,63.086633,0.000272,0.000321,0.000574,0.000652,0.006496
9,102805,10000000,63.082515,0.000370,0.000477,0.000545,0.000807,0.006517
10,102853,10000000,63.090906,0.000263,0.000321,0.000506,0.000593,0.006291
11,102797,10000000,63.092532,0.000156,0.000263,0.000486,0.000535,0.006245
12,102835,10000000,63.079428,0.000418,0.000457,0.000593,0.000817,0.006574
13,102851,10000000,63.091997,0.000214,0.000311,0.000496,0.000535,0.006320
14,102820,10000000,63.080656,0.000408,0.000447,0.000613,0.000807,0.006545
15,102817,10000000,63.079510,0.000321,0.000408,0.000603,0.000749,0.006643
16,102833,10000000,63.092665,0.000263,0.000360,0.000399,0.000593,0.006457
17,102816,10000000,63.080182,0.000360,0.000477,0.000720,0.000778,0.006468
18,102842,10000000,63.087455,0.000282,0.000321,0.000467,0.000651,0.006563
19,102827,10000000,63.080018,0.000311,0.000331,0.000642,0.000681,0.006662
20,102793,10000000,63.099919,0.000272,0.000350,0.000399,0.000555,0.006090
21,102852,10000000,63.087320,0.000263,0.000331,0.000515,0.000574,0.006573
22,102796,10000000,63.085003,0.000360,0.000370,0.000574,0.000691,0.006557
23,102807,10000000,63.092299,0.000302,0.000350,0.000496,0.000564,0.006089
24,102870,10000000,63.090046,0.000126,0.000331,0.000457,0.000535,0.006737
25,102838,10000000,63.083296,0.000331,0.000379,0.000603,0.000661,0.006671
26,77322,7299798,62.649556,0.000569,0.000724,0.000970,0.001022,0.016205
