epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,79723,10000001,63.310237,0.001279,0.002609,0.005444,0.011164,0.016319
1,90386,10000000,58.896179,0.006826,0.013243,0.038988,0.088598,0.128283
2,27695,10000000,27.101715,0.057917,0.111464,0.221267,0.629355,0.985846
3,30748,10000000,31.200436,0.040978,0.078054,0.151750,0.500878,0.922174
4,33445,10000000,33.527493,0.033817,0.066198,0.129317,0.438900,0.848348
5,35818,10000000,35.292981,0.030376,0.059356,0.117511,0.403065,0.790887
6,38026,10000000,36.896571,0.028033,0.055830,0.108925,0.377820,0.746410
7,40119,10000000,37.912859,0.026546,0.052594,0.102670,0.356340,0.713577
8,42133,10000000,38.697814,0.025704,0.049771,0.097358,0.339876,0.686920
9,44101,10000000,39.252738,0.023718,0.047028,0.093172,0.324142,0.669917
10,46092,10000000,39.366897,0.023214,0.045062,0.088953,0.313286,0.676213
11,48129,10000000,39.288516,0.021920,0.042968,0.085416,0.309522,0.688982
12,50613,10000000,39.150890,0.020983,0.040918,0.081343,0.318337,0.696185
13,53165,3094308,29.310524,0.035474,0.094950,0.224772,0.587661,0.906160
