epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,69710,10000000,63.962158,0.000445,0.000516,0.000559,0.000617,0.000674
1,80078,10000000,63.973189,0.000325,0.000337,0.000362,0.000475,0.000475
2,105686,10000000,54.397281,0.010408,0.035009,0.112106,0.184916,0.206622
3,485088,10000000,18.158266,0.054961,0.189417,0.561587,0.872741,0.968950
4,359507,10000000,25.102877,0.056730,0.164192,0.453499,0.717271,0.827631
5,174134,10000000,53.661186,0.006070,0.011755,0.023114,0.070153,0.251938
6,174838,10000000,53.179692,0.011531,0.021180,0.037612,0.088259,0.256243
7,175655,10000000,52.699001,0.017739,0.030685,0.050104,0.099673,0.260892
8,171983,10000000,53.718513,0.025375,0.040155,0.057715,0.094800,0.221685
9,176476,10000000,52.432472,0.030032,0.046964,0.065839,0.109630,0.257009
10,184227,10000000,50.244682,0.034094,0.052967,0.076107,0.131897,0.318542
11,180189,10000000,51.328522,0.039181,0.059243,0.080171,0.124231,0.278524
12,100901,10000001,59.528558,0.000317,0.000674,0.003013,0.022696,0.109444
13,263668,10000001,25.718146,0.230877,0.351040,0.541427,0.689978,0.729861
14,376844,10000000,17.266442,0.192844,0.343874,0.621530,0.862585,0.929968
15,396521,10000001,16.222049,0.213189,0.377191,0.652899,0.875026,0.938132
16,418344,10000001,15.371336,0.228314,0.401839,0.680306,0.889555,0.943360
17,400877,10000000,16.095126,0.226653,0.385452,0.653856,0.878242,0.937609
18,283834,10000000,22.959120,0.228334,0.383228,0.561554,0.714058,0.792396
19,206337,10000000,31.282106,0.215797,0.354362,0.448780,0.530530,0.616908
20,202054,10000000,32.300652,0.210127,0.356078,0.445351,0.505721,0.588976
21,202969,10000000,32.415610,0.214742,0.357887,0.439693,0.500411,0.587533
22,208065,10000001,31.741403,0.224233,0.350242,0.438690,0.507625,0.610098
23,209661,10000000,31.594493,0.230701,0.379398,0.462241,0.519024,0.592967
24,213733,10000000,30.683535,0.238915,0.388934,0.478625,0.536436,0.610729
25,216319,10000001,30.217332,0.242392,0.382435,0.480702,0.544862,0.624064
26,215524,10000000,30.432054,0.238015,0.396522,0.490799,0.546853,0.609097
27,220137,10000001,29.701854,0.253083,0.392578,0.484516,0.549989,0.634155
28,216405,10000001,30.159890,0.244777,0.399487,0.491939,0.545676,0.616220
29,219876,10000000,29.364346,0.245211,0.404137,0.501842,0.563254,0.633189
30,220112,10000000,29.393100,0.253535,0.405316,0.503230,0.566630,0.629925
31,213582,10000000,30.232772,0.267986,0.401162,0.493614,0.560380,0.609335
32,208077,10000000,30.880035,0.274086,0.401217,0.483465,0.546120,0.595654
33,221193,10000001,29.649302,0.250342,0.402373,0.491589,0.552255,0.630874
34,221046,10000000,29.330293,0.248473,0.403871,0.500724,0.557070,0.635090
35,221899,10000000,29.294711,0.250393,0.404689,0.501377,0.557249,0.635330
36,220838,10000000,29.629575,0.246466,0.402788,0.490341,0.547084,0.633962
37,223891,10000001,29.118629,0.252958,0.412384,0.505210,0.563873,0.637382
38,218806,10000000,29.535397,0.254966,0.404646,0.501696,0.560131,0.626560
39,220334,10000000,29.338600,0.253479,0.404636,0.506731,0.568251,0.629789
40,213748,10000000,30.575912,0.237902,0.392977,0.479972,0.532922,0.613283
41,221775,10000000,29.375069,0.244058,0.403743,0.501571,0.561001,0.633633
42,337098,10000000,17.351586,0.353040,0.515340,0.655996,0.773081,0.893331
43,161376,10000000,36.904217,0.070928,0.102853,0.171413,0.339976,0.722703
44,145800,10000000,40.505117,0.064540,0.093759,0.149925,0.287531,0.629287
45,102020,10000000,63.993570,0.000020,0.000049,0.000098,0.000118,0.000127
46,127010,10000000,60.781246,0.003102,0.007031,0.015896,0.037887,0.085828
47,126545,10000000,61.205152,0.002300,0.004378,0.011616,0.033530,0.074219
48,128517,10000000,62.107433,0.001790,0.003898,0.008372,0.021094,0.044111
49,114183,10000000,62.307953,0.000631,0.000990,0.002128,0.012471,0.043816
50,121583,10000001,62.219356,0.000822,0.001612,0.003742,0.009763,0.042317
51,135573,10000001,61.367108,0.000059,0.000155,0.001903,0.031194,0.078150
52,137101,10000000,61.123413,0.000321,0.001007,0.005806,0.042100,0.084879
53,141290,10000000,61.249621,0.005181,0.013582,0.032883,0.052007,0.057591
54,136292,10000000,59.937436,0.005510,0.013486,0.034793,0.075793,0.095383
55,134985,10000000,59.784991,0.020010,0.037967,0.061540,0.076875,0.079764
56,132831,10000000,61.406057,0.019250,0.030746,0.040646,0.045140,0.046051
57,129359,10000000,63.089240,0.008503,0.012562,0.014927,0.015368,0.015469
58,111829,10000001,63.985746,0.000089,0.000125,0.000143,0.000188,0.000232
59,99841,10000000,58.551407,0.004948,0.011779,0.032732,0.099298,0.139362
60,126372,10000000,57.765518,0.005515,0.013294,0.032072,0.087187,0.162085
61,129319,10000000,58.646069,0.004763,0.008893,0.023624,0.067515,0.144372
62,143551,10000000,60.661033,0.003469,0.007475,0.016064,0.039428,0.081393
63,130889,10000000,60.813269,0.001222,0.002002,0.004248,0.025632,0.084614
