epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,25252,2000001,63.911255,0.000713,0.001030,0.001228,0.001465,0.001703
1,55508,2000000,25.328277,0.143403,0.302497,0.584366,0.706421,0.711393
2,102763,2000000,17.692915,0.174314,0.373101,0.717262,0.860164,0.863443
3,102981,2000000,17.815141,0.455871,0.553927,0.724706,0.796904,0.800478
4,99965,1645559,12.315801,0.758736,0.807092,0.831941,0.834102,0.834292
5,27250,2000000,60.140661,0.014826,0.026936,0.052587,0.073798,0.074862
6,89693,2000000,20.520676,0.125528,0.276633,0.594428,0.840400,0.849799
7,92458,2000000,19.868697,0.125030,0.270772,0.598856,0.856421,0.864187
8,125515,2000000,14.320910,0.412819,0.685121,0.812572,0.854097,0.856495
9,93668,2000000,18.633151,0.427873,0.681674,0.759149,0.759865,0.760879
10,26682,1452589,43.640244,0.314257,0.314669,0.320103,0.324189,0.324189
11,25389,2000000,63.857300,0.000906,0.001103,0.001654,0.002206,0.002639
12,87755,2000001,20.432488,0.128847,0.277659,0.605196,0.838471,0.846083
13,94634,2000000,19.364013,0.136029,0.291808,0.629668,0.857070,0.863062
14,132746,2000000,13.678604,0.595491,0.746071,0.806970,0.843867,0.845894
15,76547,2000000,22.766601,0.553621,0.665447,0.673260,0.673442,0.673560
16,17703,1009945,49.329436,0.222109,0.230865,0.232446,0.232559,0.232559
17,28021,2000000,58.812141,0.015560,0.031405,0.067878,0.101210,0.102566
18,88184,2000001,20.942359,0.128515,0.263631,0.568754,0.837703,0.849587
19,90526,2000000,20.325520,0.118154,0.257009,0.574122,0.853611,0.864382
20,117728,2000000,15.313103,0.311277,0.591516,0.796718,0.856117,0.859107
21,104778,2000000,16.954552,0.347630,0.634942,0.797982,0.804081,0.807574
22,33641,1792608,40.091822,0.373651,0.374008,0.374157,0.380221,0.381291
