epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,10000,1024,spacesaving,0.117718,0.101800,0.091233,0.076800,25252,1613887
0,10000,16384,spacesaving,0.997077,1.000000,0.799500,0.622200,25252,1613887
0,10000,262144,spacesaving,1.000000,1.000000,0.749500,0.550200,25252,1613887
1,10000,1024,spacesaving,0.059151,0.058900,0.033825,0.003900,55508,1405922
1,10000,16384,spacesaving,0.828788,0.823100,0.337397,0.045200,55508,1405922
1,10000,262144,spacesaving,1.000000,1.000000,0.344370,0.041300,55508,1405922
2,10000,1024,spacesaving,0.056014,0.053500,0.054383,0.012600,102763,1818177
2,10000,16384,spacesaving,0.896619,0.811100,0.539348,0.141500,102763,1818177
2,10000,262144,spacesaving,1.000000,1.000000,0.539867,0.143100,102763,1818177
3,10000,1024,spacesaving,0.077884,0.080300,0.048092,0.007000,102981,1834621
3,10000,16384,spacesaving,0.993757,0.909200,0.475649,0.087200,102981,1834621
3,10000,262144,spacesaving,1.000000,1.000000,0.479093,0.090800,102981,1834621
4,10000,1024,spacesaving,0.132414,0.102000,0.074101,0.021300,99965,1231149
4,10000,16384,spacesaving,0.987503,0.812700,0.715673,0.181100,99965,1231149
4,10000,262144,spacesaving,1.000000,1.000000,0.695885,0.120700,99965,1231149
5,10000,1024,spacesaving,0.074447,0.062700,0.053685,0.000100,27250,1638833
5,10000,16384,spacesaving,0.979675,1.000000,0.524428,0.003000,27250,1638833
5,10000,262144,spacesaving,1.000000,1.000000,0.623139,0.282800,27250,1638833
6,10000,1024,spacesaving,0.058922,0.050400,0.040064,0.013400,89693,1840561
6,10000,16384,spacesaving,0.842950,0.707000,0.396711,0.147700,89693,1840561
6,10000,262144,spacesaving,1.000000,1.000000,0.396882,0.143400,89693,1840561
7,10000,1024,spacesaving,0.055499,0.048800,0.056108,0.010500,92458,1837020
7,10000,16384,spacesaving,0.854907,0.724900,0.557599,0.121800,92458,1837020
7,10000,262144,spacesaving,1.000000,1.000000,0.554170,0.115000,92458,1837020
8,10000,1024,spacesaving,0.068930,0.074500,0.056105,0.016700,125515,1797489
8,10000,16384,spacesaving,0.998432,0.985000,0.553184,0.172800,125515,1797489
8,10000,262144,spacesaving,1.000000,1.000000,0.555917,0.177100,125515,1797489
9,10000,1024,spacesaving,0.091051,0.078800,0.063758,0.031100,93668,1745330
9,10000,16384,spacesaving,0.991833,0.877800,0.620935,0.299800,93668,1745330
9,10000,262144,spacesaving,1.000000,1.000000,0.646257,0.352400,93668,1745330
10,10000,1024,spacesaving,0.130832,0.101400,0.087653,0.101700,26682,1164409
10,10000,16384,spacesaving,0.999687,1.000000,0.857596,0.999600,26682,1164409
10,10000,262144,spacesaving,1.000000,1.000000,0.873790,1.000000,26682,1164409
11,10000,1024,spacesaving,0.117376,0.101500,0.088155,0.066900,25389,1621273
11,10000,16384,spacesaving,0.975641,1.000000,0.832322,0.623500,25389,1621273
11,10000,262144,spacesaving,1.000000,1.000000,0.817391,0.608300,25389,1621273
12,10000,1024,spacesaving,0.063027,0.051600,0.036156,0.004800,87755,1793053
12,10000,16384,spacesaving,0.855760,0.725500,0.349201,0.049200,87755,1793053
12,10000,262144,spacesaving,1.000000,1.000000,0.347246,0.045100,87755,1793053
13,10000,1024,spacesaving,0.058006,0.052600,0.057993,0.014100,94634,1832494
13,10000,16384,spacesaving,0.864702,0.745700,0.555506,0.116800,94634,1832494
13,10000,262144,spacesaving,1.000000,1.000000,0.556252,0.118100,94634,1832494
14,10000,1024,spacesaving,0.070819,0.079400,0.054975,0.017000,132746,1815780
14,10000,16384,spacesaving,0.985324,0.957500,0.535384,0.162400,132746,1815780
14,10000,262144,spacesaving,1.000000,1.000000,0.534141,0.156400,132746,1815780
15,10000,1024,spacesaving,0.131493,0.094300,0.077488,0.102200,76547,1742715
15,10000,16384,spacesaving,0.909722,0.849300,0.756824,0.997700,76547,1742715
15,10000,262144,spacesaving,1.000000,1.000000,0.489546,0.379400,76547,1742715
16,10000,1024,spacesaving,0.154807,0.101300,0.099844,0.101700,17703,873279
16,10000,16384,spacesaving,0.999901,0.992300,0.977459,0.998900,17703,873279
16,10000,262144,spacesaving,1.000000,1.000000,0.731322,0.472700,17703,873279
17,10000,1024,spacesaving,0.075281,0.058400,0.053867,0.000000,28021,1647975
17,10000,16384,spacesaving,0.956119,1.000000,0.519867,0.000000,28021,1647975
17,10000,262144,spacesaving,1.000000,1.000000,0.522367,0.094100,28021,1647975
18,10000,1024,spacesaving,0.058185,0.048600,0.046157,0.015600,88184,1846781
18,10000,16384,spacesaving,0.835156,0.689700,0.451109,0.145400,88184,1846781
18,10000,262144,spacesaving,1.000000,1.000000,0.447829,0.138200,88184,1846781
19,10000,1024,spacesaving,0.055111,0.048100,0.055442,0.009300,90526,1839988
19,10000,16384,spacesaving,0.847715,0.707100,0.550851,0.109400,90526,1839988
19,10000,262144,spacesaving,1.000000,1.000000,0.550802,0.109200,90526,1839988
20,10000,1024,spacesaving,0.062422,0.068400,0.057340,0.019500,117728,1802781
20,10000,16384,spacesaving,0.988021,0.976100,0.556141,0.181000,117728,1802781
20,10000,262144,spacesaving,1.000000,1.000000,0.552566,0.170200,117728,1802781
21,10000,1024,spacesaving,0.092324,0.087100,0.064281,0.032200,104778,1776464
21,10000,16384,spacesaving,0.956797,0.894600,0.618754,0.294700,104778,1776464
21,10000,262144,spacesaving,1.000000,1.000000,0.582343,0.217500,104778,1776464
22,10000,1024,spacesaving,0.135036,0.101800,0.094472,0.095000,33641,1348729
22,10000,16384,spacesaving,0.996090,0.779000,0.860826,0.732000,33641,1348729
22,10000,262144,spacesaving,1.000000,1.000000,0.688976,0.171700,33641,1348729
