epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,55151,2000000,23.932748,0.117749,0.254483,0.561604,0.773712,0.776976
1,82192,2000000,19.713658,0.123796,0.272776,0.598647,0.853891,0.865461
2,75370,2000000,21.243439,0.123683,0.269099,0.591655,0.812100,0.830277
3,69376,2000000,21.723939,0.124452,0.268998,0.589339,0.803823,0.816565
4,97205,2000000,19.165526,0.128244,0.281107,0.616666,0.855131,0.879584
5,50962,2000000,28.392116,0.104961,0.228307,0.498175,0.680115,0.689945
6,19797,1762433,63.712179,0.001465,0.001667,0.001667,0.001768,0.001818
7,75139,2000001,21.472298,0.124090,0.269341,0.590852,0.812627,0.818816
8,81322,2000000,20.003369,0.123116,0.272067,0.598227,0.844384,0.858747
9,65412,2000000,22.186281,0.121048,0.262230,0.580413,0.797621,0.807115
10,83624,2000000,20.673491,0.127667,0.277528,0.605149,0.821594,0.832811
11,97026,2000000,19.306134,0.128048,0.279647,0.613815,0.850164,0.879733
12,31365,2000000,41.748605,0.065997,0.143376,0.313024,0.426463,0.427897
13,16132,1238019,63.760414,0.001178,0.001364,0.001364,0.001426,0.001488
14,75139,2000001,21.472311,0.124090,0.269341,0.590852,0.812627,0.818816
15,81322,2000000,20.003369,0.123116,0.272067,0.598227,0.844384,0.858747
16,65412,2000000,22.186266,0.121048,0.262230,0.580413,0.797621,0.807115
17,83624,2000000,20.673467,0.127667,0.277528,0.605149,0.821594,0.832811
18,97026,2000000,19.306155,0.128048,0.279647,0.613815,0.850164,0.879733
19,31365,2000000,41.748573,0.065997,0.143344,0.313056,0.426463,0.427897
20,16134,1238027,63.752820,0.001302,0.001488,0.001488,0.001550,0.001612
21,75140,2000000,21.471959,0.124102,0.269351,0.590857,0.812630,0.818818
22,81322,2000000,20.003382,0.123116,0.272067,0.598227,0.844384,0.858747
23,65414,2000000,22.185587,0.121075,0.262253,0.580426,0.797627,0.807106
24,83625,2000000,20.673268,0.127677,0.277537,0.605154,0.821596,0.832813
25,97026,2000000,19.306124,0.128048,0.279647,0.613815,0.850164,0.879733
26,31365,2000000,41.748478,0.066029,0.143344,0.313056,0.426463,0.427897
27,16133,1238026,63.756772,0.001240,0.001426,0.001426,0.001488,0.001488
