epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,10000,1024,spacesaving,0.060672,0.058600,0.039587,0.016000,55151,1319915
0,10000,16384,spacesaving,0.991025,0.977700,0.379779,0.149100,55151,1319915
0,10000,262144,spacesaving,1.000000,1.000000,0.486660,0.237600,55151,1319915
1,10000,1024,spacesaving,0.067659,0.053900,0.037117,0.005700,82192,1620305
1,10000,16384,spacesaving,0.820922,0.704300,0.353533,0.054900,82192,1620305
1,10000,262144,spacesaving,1.000000,1.000000,0.411245,0.097900,82192,1620305
2,10000,1024,spacesaving,0.115093,0.102400,0.047276,0.005200,75370,1601118
2,10000,16384,spacesaving,0.914836,0.881100,0.462474,0.056100,75370,1601118
2,10000,262144,spacesaving,1.000000,1.000000,0.521144,0.093700,75370,1601118
3,10000,1024,spacesaving,0.051687,0.051000,0.034784,0.010800,69376,1507120
3,10000,16384,spacesaving,0.876819,0.809000,0.338540,0.105400,69376,1507120
3,10000,262144,spacesaving,1.000000,1.000000,0.358746,0.111300,69376,1507120
4,10000,1024,spacesaving,0.060822,0.045100,0.038268,0.004000,97205,1862985
4,10000,16384,spacesaving,0.634408,0.525400,0.378417,0.037900,97205,1862985
4,10000,262144,spacesaving,1.000000,1.000000,0.383193,0.033600,97205,1862985
5,10000,1024,spacesaving,0.101907,0.092800,0.047356,0.001700,50962,1446919
5,10000,16384,spacesaving,0.995516,0.927000,0.463285,0.016700,50962,1446919
5,10000,262144,spacesaving,1.000000,1.000000,0.470196,0.019800,50962,1446919
6,10000,1024,spacesaving,0.168386,0.102400,0.102292,0.102200,19797,1261310
6,10000,16384,spacesaving,0.999549,0.954400,0.999600,0.999800,19797,1261310
6,10000,262144,spacesaving,1.000000,1.000000,0.775690,0.328000,19797,1261310
7,10000,1024,spacesaving,0.068975,0.060800,0.039090,0.007600,75139,1613407
7,10000,16384,spacesaving,0.673668,0.571500,0.392252,0.090100,75139,1613407
7,10000,262144,spacesaving,1.000000,1.000000,0.485274,0.228800,75139,1613407
8,10000,1024,spacesaving,0.066707,0.057300,0.037331,0.006500,81322,1626714
8,10000,16384,spacesaving,0.780372,0.681200,0.359547,0.049600,81322,1626714
8,10000,262144,spacesaving,1.000000,1.000000,0.413980,0.086300,81322,1626714
9,10000,1024,spacesaving,0.070893,0.069200,0.044413,0.009600,65412,1451249
9,10000,16384,spacesaving,0.975140,0.951700,0.431816,0.083900,65412,1451249
9,10000,262144,spacesaving,1.000000,1.000000,0.488167,0.135700,65412,1451249
10,10000,1024,spacesaving,0.058308,0.050000,0.041126,0.008700,83624,1728800
10,10000,16384,spacesaving,0.597708,0.532400,0.402489,0.077700,83624,1728800
10,10000,262144,spacesaving,1.000000,1.000000,0.414466,0.071000,83624,1728800
11,10000,1024,spacesaving,0.060749,0.042500,0.039050,0.003200,97026,1873197
11,10000,16384,spacesaving,0.641333,0.525600,0.381569,0.033100,97026,1873197
11,10000,262144,spacesaving,1.000000,1.000000,0.382446,0.029500,97026,1873197
12,10000,1024,spacesaving,0.081475,0.083000,0.053608,0.030700,31365,1309445
12,10000,16384,spacesaving,0.997501,0.949600,0.524846,0.302600,31365,1309445
12,10000,262144,spacesaving,1.000000,1.000000,0.520199,0.262100,31365,1309445
13,10000,1024,spacesaving,0.153510,0.102400,0.102380,0.102400,16132,1028583
13,10000,16384,spacesaving,1.000000,1.000000,0.999800,1.000000,16132,1028583
13,10000,262144,spacesaving,1.000000,1.000000,0.999750,0.999900,16132,1028583
14,10000,1024,spacesaving,0.069112,0.060900,0.039206,0.007800,75139,1613408
14,10000,16384,spacesaving,0.673277,0.571100,0.388666,0.084300,75139,1613408
14,10000,262144,spacesaving,1.000000,1.000000,0.480827,0.226500,75139,1613408
15,10000,1024,spacesaving,0.066866,0.057400,0.037118,0.006400,81322,1626714
15,10000,16384,spacesaving,0.780968,0.681700,0.361205,0.052400,81322,1626714
15,10000,262144,spacesaving,1.000000,1.000000,0.411967,0.085500,81322,1626714
16,10000,1024,spacesaving,0.070636,0.069100,0.044483,0.009700,65412,1451248
16,10000,16384,spacesaving,0.975365,0.952100,0.430998,0.082300,65412,1451248
16,10000,262144,spacesaving,1.000000,1.000000,0.488143,0.133100,65412,1451248
17,10000,1024,spacesaving,0.058269,0.050000,0.041033,0.008400,83624,1728798
17,10000,16384,spacesaving,0.597965,0.532600,0.400902,0.075700,83624,1728798
17,10000,262144,spacesaving,1.000000,1.000000,0.412661,0.069400,83624,1728798
18,10000,1024,spacesaving,0.060797,0.042500,0.038952,0.003100,97026,1873199
18,10000,16384,spacesaving,0.640997,0.525300,0.379200,0.031400,97026,1873199
18,10000,262144,spacesaving,1.000000,1.000000,0.384458,0.031900,97026,1873199
19,10000,1024,spacesaving,0.081561,0.083000,0.053608,0.030700,31365,1309444
19,10000,16384,spacesaving,0.997538,0.949600,0.524146,0.302000,31365,1309444
19,10000,262144,spacesaving,1.000000,1.000000,0.518575,0.260500,31365,1309444
20,10000,1024,spacesaving,0.153360,0.102400,0.102380,0.102400,16134,1028588
20,10000,16384,spacesaving,1.000000,1.000000,0.999800,1.000000,16134,1028588
20,10000,262144,spacesaving,1.000000,1.000000,0.999650,0.999700,16134,1028588
21,10000,1024,spacesaving,0.068974,0.060800,0.039137,0.007700,75140,1613403
21,10000,16384,spacesaving,0.673709,0.571500,0.392414,0.088800,75140,1613403
