epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,128,50,cmsketch,0.498258,0.015625,0.251301,0.000000,196349,3754057
0,128,128,cmsketch,0.547529,0.007812,0.227165,0.000000,196349,3754057
0,128,512,cmsketch,0.465184,0.015625,0.245149,0.000000,196349,3754057
0,128,2048,cmsketch,0.546521,0.007812,0.241836,0.000000,196349,3754057
0,128,8192,cmsketch,0.574042,0.023438,0.264553,0.000000,196349,3754057
1,128,50,cmsketch,0.950895,0.210938,0.809339,0.007812,59238,1992661
1,128,128,cmsketch,0.931589,0.101562,0.810636,0.007812,59238,1992661
1,128,512,cmsketch,0.914313,0.101562,0.808042,0.000000,59238,1992661
1,128,2048,cmsketch,0.856323,0.015625,0.795071,0.000000,59238,1992661
1,128,8192,cmsketch,0.821721,0.039062,0.779507,0.000000,59238,1992661
