epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,128,50,spacesaving,0.120153,0.000000,0.098438,0.000000,196349,3754057
0,128,128,spacesaving,0.331993,0.000000,0.232844,0.000000,196349,3754057
0,128,512,spacesaving,0.368780,0.000000,0.232844,0.000000,196349,3754057
0,128,2048,spacesaving,0.282620,0.000000,0.216753,0.007812,196349,3754057
0,128,8192,spacesaving,0.209134,0.000000,0.228585,0.000000,196349,3754057
1,128,50,spacesaving,0.380640,0.132812,0.316472,0.000000,59240,1992673
1,128,128,spacesaving,0.981264,0.382812,0.811933,0.007812,59240,1992673
1,128,512,spacesaving,0.990694,0.398438,0.817121,0.000000,59240,1992673
1,128,2048,spacesaving,0.990917,0.406250,0.817121,0.000000,59240,1992673
1,128,8192,spacesaving,0.990892,0.406250,0.810636,0.000000,59240,1992673
