epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,79675,10000000,63.309809,0.001318,0.002661,0.005497,0.011108,0.016304
1,90418,10000000,58.907596,0.007089,0.013692,0.039041,0.088334,0.127740
2,27704,10000000,27.105400,0.058584,0.111753,0.221159,0.627996,0.986139
3,30751,10000000,31.203701,0.040844,0.078371,0.151670,0.500927,0.921986
4,33455,10000000,33.522403,0.033627,0.066238,0.129577,0.439038,0.848453
5,35813,10000000,35.300170,0.029738,0.059141,0.117025,0.403150,0.790886
6,38017,10000000,36.900702,0.027882,0.055633,0.109004,0.377726,0.746429
7,40118,10000000,37.913680,0.026422,0.052520,0.102921,0.356847,0.713545
8,42124,10000000,38.701121,0.025544,0.049520,0.097830,0.339403,0.686901
9,44110,10000000,39.239470,0.024122,0.047200,0.093562,0.324212,0.670120
10,46086,10000000,39.371176,0.022957,0.044894,0.089224,0.313067,0.676279
11,48125,10000000,39.290618,0.021839,0.042847,0.085444,0.309569,0.688956
12,50622,10000000,39.141618,0.021275,0.041069,0.081585,0.318182,0.696278
13,53172,3093139,29.300873,0.035601,0.094900,0.225081,0.587114,0.906097
