epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,128,50,cmsketch,0.251639,0.000000,0.162162,0.000000,79675,5044209
0,128,128,cmsketch,0.260951,0.000000,0.156931,0.000000,79675,5044209
0,128,512,cmsketch,0.260324,0.000000,0.163906,0.000000,79675,5044209
0,128,2048,cmsketch,0.252354,0.000000,0.164778,0.000000,79675,5044209
0,128,8192,cmsketch,0.266009,0.000000,0.165650,0.000000,79675,5044209
1,128,50,cmsketch,0.259250,0.015625,0.129492,0.007812,90418,5326307
1,128,128,cmsketch,0.196137,0.000000,0.100547,0.000000,90418,5326307
1,128,512,cmsketch,0.238609,0.031250,0.149997,0.007812,90418,5326307
1,128,2048,cmsketch,0.309980,0.046875,0.193908,0.015625,90418,5326307
1,128,8192,cmsketch,0.509772,0.203125,0.155403,0.000000,90418,5326307
2,128,50,cmsketch,0.358889,0.023438,0.258360,0.000000,27704,750928
2,128,128,cmsketch,0.333775,0.015625,0.266171,0.000000,27704,750928
2,128,512,cmsketch,0.326375,0.007812,0.228160,0.000000,27704,750928
2,128,2048,cmsketch,0.378118,0.023438,0.259598,0.000000,27704,750928
2,128,8192,cmsketch,0.473640,0.039062,0.278842,0.000000,27704,750928
3,128,50,cmsketch,0.399397,0.031250,0.273445,0.000000,30751,959545
3,128,128,cmsketch,0.395890,0.000000,0.278452,0.007812,30751,959545
3,128,512,cmsketch,0.407835,0.007812,0.271017,0.000000,30751,959545
3,128,2048,cmsketch,0.416844,0.000000,0.303945,0.000000,30751,959545
3,128,8192,cmsketch,0.480213,0.015625,0.302883,0.000000,30751,959545
4,128,50,cmsketch,0.364747,0.007812,0.260417,0.000000,33455,1121492
4,128,128,cmsketch,0.367894,0.000000,0.312141,0.007812,33455,1121492
4,128,512,cmsketch,0.392380,0.015625,0.294540,0.000000,33455,1121492
4,128,2048,cmsketch,0.387863,0.000000,0.292565,0.000000,33455,1121492
4,128,8192,cmsketch,0.470451,0.000000,0.305675,0.000000,33455,1121492
5,128,50,cmsketch,0.401325,0.015625,0.281114,0.007812,35813,1264205
