epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,79670,10000000,63.309803,0.001318,0.002648,0.005498,0.011108,0.016305
1,90415,10000000,58.911785,0.006857,0.013637,0.038887,0.088238,0.127965
2,27683,10000000,27.128671,0.058014,0.111296,0.220496,0.627750,0.986273
3,30736,10000000,31.216554,0.040571,0.077661,0.151614,0.500878,0.921655
4,33471,10000000,33.507843,0.034119,0.066625,0.129784,0.439455,0.848466
5,35815,10000000,35.300600,0.029792,0.059137,0.117130,0.403378,0.790814
6,38017,10000000,36.901860,0.027882,0.055580,0.109188,0.377699,0.746377
7,40121,10000000,37.912714,0.026345,0.052840,0.103113,0.356870,0.713566
8,42128,10000000,38.700627,0.025541,0.049634,0.098106,0.339394,0.686859
9,44110,10000000,39.241419,0.024122,0.047359,0.093494,0.324167,0.669939
10,46093,10000000,39.367106,0.023344,0.045039,0.089580,0.313106,0.676263
11,48123,10000000,39.293519,0.021819,0.042807,0.085136,0.309478,0.688818
12,50611,10000000,39.152082,0.021221,0.040762,0.081642,0.317935,0.696054
13,53165,3090494,29.296755,0.035625,0.094762,0.225487,0.587473,0.906047
