epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,128,50,spacesaving,0.072056,0.000000,0.051095,0.000000,79670,5043892
0,128,128,spacesaving,0.174857,0.000000,0.137774,0.000000,79670,5043892
0,128,512,spacesaving,0.158552,0.000000,0.137774,0.000000,79670,5043892
0,128,2048,spacesaving,0.152867,0.000000,0.172445,0.000000,79670,5043892
0,128,8192,spacesaving,0.208252,0.000000,0.181569,0.000000,79670,5043892
1,128,50,spacesaving,0.108110,0.000000,0.028462,0.000000,90415,5326509
1,128,128,spacesaving,0.283570,0.031250,0.090141,0.000000,90415,5326509
1,128,512,spacesaving,0.358339,0.078125,0.090141,0.000000,90415,5326509
1,128,2048,spacesaving,0.531927,0.242188,0.113056,0.000000,90415,5326509
1,128,8192,spacesaving,0.992496,0.875000,0.104405,0.000000,90415,5326509
2,128,50,spacesaving,0.137356,0.007812,0.114606,0.000000,27683,751003
2,128,128,spacesaving,0.364063,0.007812,0.255491,0.000000,27683,751003
2,128,512,spacesaving,0.444386,0.039062,0.255491,0.000000,27683,751003
2,128,2048,spacesaving,0.456098,0.070312,0.254532,0.000000,27683,751003
2,128,8192,spacesaving,0.913626,0.796875,0.275918,0.000000,27683,751003
3,128,50,spacesaving,0.185551,0.007812,0.065028,0.000000,30736,959472
3,128,128,spacesaving,0.429359,0.007812,0.209281,0.000000,30736,959472
3,128,512,spacesaving,0.485444,0.039062,0.209281,0.000000,30736,959472
3,128,2048,spacesaving,0.467483,0.062500,0.279499,0.000000,30736,959472
3,128,8192,spacesaving,0.485783,0.164062,0.291559,0.000000,30736,959472
4,128,50,spacesaving,0.150830,0.000000,0.144532,0.000000,33471,1121541
4,128,128,spacesaving,0.384197,0.015625,0.284689,0.000000,33471,1121541
4,128,512,spacesaving,0.465277,0.023438,0.284689,0.000000,33471,1121541
4,128,2048,spacesaving,0.483056,0.054688,0.291864,0.000000,33471,1121541
4,128,8192,spacesaving,0.472122,0.140625,0.287664,0.015625,33471,1121541
5,128,50,spacesaving,0.152389,0.000000,0.121146,0.000000,35815,1264291
5,128,128,spacesaving,0.378575,0.000000,0.326087,0.000000,35815,1264291
5,128,512,spacesaving,0.450594,0.015625,0.326087,0.000000,35815,1264291
5,128,2048,spacesaving,0.468243,0.046875,0.273320,0.000000,35815,1264291
5,128,8192,spacesaving,0.409507,0.125000,0.293478,0.000000,35815,1264291
6,128,50,spacesaving,0.157333,0.000000,0.115706,0.000000,38017,1402898
6,128,128,spacesaving,0.418071,0.007812,0.274436,0.000000,38017,1402898
6,128,512,spacesaving,0.469972,0.015625,0.274436,0.000000,38017,1402898
6,128,2048,spacesaving,0.466023,0.046875,0.286550,0.000000,38017,1402898
6,128,8192,spacesaving,0.390027,0.062500,0.262114,0.000000,38017,1402898
7,128,50,spacesaving,0.147183,0.000000,0.055048,0.000000,40121,1521096
7,128,128,spacesaving,0.390788,0.015625,0.248042,0.000000,40121,1521096
7,128,512,spacesaving,0.435309,0.007812,0.248042,0.000000,40121,1521096
7,128,2048,spacesaving,0.430201,0.015625,0.267189,0.000000,40121,1521096
7,128,8192,spacesaving,0.372378,0.039062,0.252393,0.000000,40121,1521096
8,128,50,spacesaving,0.148812,0.007812,0.112277,0.000000,42128,1630380
8,128,128,spacesaving,0.403522,0.007812,0.232314,0.015625,42128,1630380
8,128,512,spacesaving,0.494080,0.031250,0.232314,0.015625,42128,1630380
8,128,2048,spacesaving,0.489733,0.054688,0.265176,0.000000,42128,1630380
8,128,8192,spacesaving,0.389422,0.046875,0.296668,0.000000,42128,1630380
9,128,50,spacesaving,0.164106,0.007812,0.072406,0.000000,44110,1730939
9,128,128,spacesaving,0.391923,0.015625,0.194811,0.000000,44110,1730939
9,128,512,spacesaving,0.479899,0.031250,0.194811,0.000000,44110,1730939
9,128,2048,spacesaving,0.488393,0.062500,0.267217,0.000000,44110,1730939
9,128,8192,spacesaving,0.388315,0.070312,0.265802,0.000000,44110,1730939
10,128,50,spacesaving,0.158747,0.007812,0.137053,0.000000,46093,1814548
10,128,128,spacesaving,0.368653,0.007812,0.515908,0.000000,46093,1814548
10,128,512,spacesaving,0.462608,0.007812,0.515908,0.000000,46093,1814548
10,128,2048,spacesaving,0.462243,0.007812,0.273372,0.000000,46093,1814548
10,128,8192,spacesaving,0.381169,0.046875,0.288057,0.000000,46093,1814548
11,128,50,spacesaving,0.148741,0.007812,0.114731,0.000000,48123,1890922
11,128,128,spacesaving,0.387168,0.015625,0.280000,0.000000,48123,1890922
11,128,512,spacesaving,0.468183,0.031250,0.280000,0.000000,48123,1890922
11,128,2048,spacesaving,0.450573,0.039062,0.268024,0.000000,48123,1890922
11,128,8192,spacesaving,0.377575,0.046875,0.251018,0.000000,48123,1890922
12,128,50,spacesaving,0.139189,0.000000,0.118061,0.000000,50611,1981526
12,128,128,spacesaving,0.392637,0.007812,0.249455,0.000000,50611,1981526
12,128,512,spacesaving,0.451630,0.015625,0.249455,0.000000,50611,1981526
12,128,2048,spacesaving,0.419720,0.031250,0.270303,0.000000,50611,1981526
12,128,8192,spacesaving,0.253333,0.062500,0.280970,0.000000,50611,1981526
13,128,50,spacesaving,0.080599,0.000000,0.039046,0.000000,53165,1557562
13,128,128,spacesaving,0.242864,0.000000,0.095445,0.000000,53165,1557562
13,128,512,spacesaving,0.273176,0.000000,0.095445,0.000000,53165,1557562
13,128,2048,spacesaving,0.273176,0.000000,0.095445,0.000000,53165,1557562
13,128,8192,spacesaving,0.273176,0.000000,0.092552,0.000000,53165,1557562
